,Representation,AUROC: OUTC,MCC: OUTC,Bal.Acc: OUTC,p-v: OUTC,Corr: OUTC,"CM[0,0]: OUTC","CM[0,1]: OUTC","CM[1,0]: OUTC","CM[1,1]: OUTC",Representation,AUROC: RT_P,MCC: RT_P,Bal.Acc: RT_P,p-v: RT_P,Corr: RT_P,"CM[0,0]: RT_P","CM[0,1]: RT_P","CM[1,0]: RT_P","CM[1,1]: RT_P",Representation,AUROC: Dece,MCC: Dece,Bal.Acc: Dece,p-v: Dece,Corr: Dece,"CM[0,0]: Dece","CM[0,1]: Dece","CM[1,0]: Dece","CM[1,1]: Dece"
0,1.0,0.6659174159174159,0.4004114932781943,0.675990675990676,2.2002549093650195e-10,0.40041149327819425,35.0,42.0,16.0,140.0,1.0,0.6758879781420765,0.20995272258175168,0.575136612021858,0.0007233803902829094,0.2099527225817517,240.0,4.0,10.0,2.0,1.0,0.7990384615384615,0.35647892483485943,0.5681818181818181,7.121144986740502e-10,0.35647892483485955,260.0,0.0,19.0,3.0
1,2.0,0.6719632768361581,0.3859167143917523,0.7028954802259887,9.545204130830585e-08,0.38591671439175224,50.0,9.0,53.0,67.0,2.0,0.6411764705882352,0.20145897676119373,0.619327731092437,0.007169367267592523,0.2014589767611937,162.0,8.0,5.0,2.0,2.0,0.5311711711711712,0.10282544953985406,0.5936936936936936,0.1473655264161817,0.10282544953985405,121.0,64.0,7.0,8.0
2,3.0,0.6650527325023969,0.3350182240747641,0.6784276126558006,3.8359847766154295e-07,0.33501822407476406,48.0,22.0,49.0,100.0,3.0,0.6325571895424837,0.11807939700904627,0.6274509803921569,0.0833807829780947,0.11807939700904627,120.0,84.0,4.0,8.0,3.0,0.6057416267942584,0.24472443025902482,0.5503588516746412,0.00013248764573419778,0.24472443025902488,219.0,1.0,17.0,2.0
3,4.0,0.5654761904761905,0.2098997493734336,0.6049498746867168,0.039063146203586266,0.20989974937343356,8.0,13.0,13.0,63.0,4.0,0.7304347826086957,0.5207931581893314,0.783695652173913,4.5408561894480076e-08,0.5207931581893314,89.0,3.0,2.0,3.0,4.0,0.40802556818181823,0.19188064472004937,0.5511363636363636,0.05101799182758786,0.19188064472004937,86.0,2.0,14.0,2.0
4,5.0,0.8216101694915254,0.48239815189080437,0.7342514124293785,8.04062556789153e-12,0.48239815189080426,36.0,23.0,17.0,103.0,5.0,0.6571428571428571,0.25256903303172107,0.5684873949579832,0.0006949570595536586,0.2525690330317211,169.0,1.0,6.0,1.0,5.0,0.7364130434782609,0.4055918597213341,0.7088768115942029,2.7995612749607323e-09,0.40559185972133405,175.0,9.0,8.0,7.0
5,6.0,0.7324324324324324,0.42355420580302167,0.7083976833976834,6.682330069970144e-11,0.4235542058030216,41.0,29.0,25.0,123.0,6.0,0.7885878489326765,0.4120428588903936,0.6592775041050903,3.2139254622755074e-10,0.4120428588903936,200.0,3.0,8.0,4.0,6.0,0.8358567652006729,0.43800987383851947,0.8216774813746696,1.41269954873919e-12,0.4380098738385194,187.0,32.0,4.0,15.0
6,7.0,0.5784126984126984,0.27565892320998564,0.5476190476190477,0.006559932379866095,0.27565892320998564,2.0,19.0,0.0,75.0,7.0,0.9450549450549451,0.7662224051759048,0.8,9.367173437763957e-20,0.7662224051759049,91.0,0.0,2.0,3.0,7.0,0.610632183908046,0.2761162244218723,0.6020114942528736,0.00475503038203046,0.27611622442187217,83.0,4.0,12.0,4.0
