,Unnamed: 0,Representation,AUROC: OUTC,MCC: OUTC,Bal.Acc: OUTC,p-v: OUTC,Corr: OUTC,"CM[0,0]: OUTC","CM[0,1]: OUTC","CM[1,0]: OUTC","CM[1,1]: OUTC",Representation.1,AUROC: RT_P,MCC: RT_P,Bal.Acc: RT_P,p-v: RT_P,Corr: RT_P,"CM[0,0]: RT_P","CM[0,1]: RT_P","CM[1,0]: RT_P","CM[1,1]: RT_P",Representation.2,AUROC: Dece,MCC: Dece,Bal.Acc: Dece,p-v: Dece,Corr: Dece,"CM[0,0]: Dece","CM[0,1]: Dece","CM[1,0]: Dece","CM[1,1]: Dece"
0,0.0,1.0,0.6814851814851814,0.3709395075693884,0.6663752913752914,5.1755493316174906e-09,0.3709395075693883,35.0,42.0,19.0,137.0,1.0,0.5788934426229508,0.18945651279646,0.5730874316939891,0.002333883105024691,0.18945651279645997,239.0,5.0,10.0,2.0,1.0,0.8408216783216783,0.4152433376855634,0.6117132867132867,3.5111506437740777e-13,0.4152433376855635,259.0,1.0,17.0,5.0
0,0.0,1.0,0.6890193140193139,0.3744369821988666,0.6597152847152847,3.616136392246782e-09,0.37443698219886656,32.0,45.0,15.0,141.0,1.0,0.5939207650273224,0.2264082222685391,0.6086065573770492,0.0002598572523206469,0.2264082222685391,236.0,8.0,9.0,3.0,1.0,0.8268356643356644,0.3745169065147722,0.794055944055944,8.067083372277376e-11,0.37451690651477226,212.0,48.0,5.0,17.0
0,0.0,1.0,0.662962037962038,0.3276926197717064,0.646978021978022,3.102673519726784e-07,0.32769261977170633,33.0,44.0,21.0,135.0,1.0,0.6171448087431693,0.2012292335313899,0.6045081967213115,0.0012075625111654749,0.20122923353138988,234.0,10.0,9.0,3.0,1.0,0.8052447552447554,0.4152433376855634,0.6117132867132867,3.5111506437740777e-13,0.4152433376855635,259.0,1.0,17.0,5.0
0,0.0,1.0,0.6754079254079254,0.40888143594189896,0.6496003996003996,8.368413452856506e-11,0.40888143594189896,26.0,51.0,6.0,150.0,1.0,0.6161202185792349,0.1725984775247362,0.5710382513661202,0.005625086299044971,0.1725984775247362,238.0,6.0,10.0,2.0,1.0,0.7986888111888111,0.3225773280109725,0.7597902097902098,2.9941352965718684e-08,0.3225773280109726,206.0,54.0,6.0,16.0
0,0.0,1.0,0.6659174159174159,0.4004114932781943,0.675990675990676,2.2002549093650197e-10,0.4004114932781943,35.0,42.0,16.0,140.0,1.0,0.6758879781420765,0.20995272258175168,0.575136612021858,0.0007233803902829094,0.2099527225817517,240.0,4.0,10.0,2.0,1.0,0.7990384615384615,0.35647892483485943,0.5681818181818181,7.121144986740503e-10,0.35647892483485955,260.0,0.0,19.0,3.0
1,1.0,2.0,0.6730932203389829,0.3859167143917523,0.7028954802259887,9.545204130830583e-08,0.3859167143917521,50.0,9.0,53.0,67.0,2.0,0.4012605042016807,0.14642752764690647,0.6046218487394959,0.051800934455562025,0.14642752764690645,157.0,13.0,5.0,2.0,2.0,0.5214414414414413,0.10971365117801728,0.5711711711711712,0.12197607724418325,0.10971365117801728,162.0,23.0,11.0,4.0
1,1.0,2.0,0.6725282485875705,0.3859167143917523,0.7028954802259887,9.545204130830583e-08,0.3859167143917521,50.0,9.0,53.0,67.0,2.0,0.6407563025210085,0.26275839209674684,0.6819327731092437,0.00041041194463709246,0.26275839209674684,159.0,11.0,4.0,3.0,2.0,0.5354954954954955,0.10612024862001466,0.5963963963963964,0.13476147374112002,0.10612024862001466,122.0,63.0,7.0,8.0
1,1.0,2.0,0.6874293785310734,0.3859167143917523,0.7028954802259887,9.545204130830583e-08,0.3859167143917521,50.0,9.0,53.0,67.0,2.0,0.6445378151260505,0.18791260007945776,0.6163865546218488,0.012257098368086508,0.18791260007945773,161.0,9.0,5.0,2.0,2.0,0.4794594594594594,0.06457464030007577,0.5405405405405406,0.3636416992873559,0.06457464030007576,163.0,22.0,12.0,3.0
1,1.0,2.0,0.6732344632768361,0.3859167143917523,0.7028954802259887,9.545204130830583e-08,0.3859167143917521,50.0,9.0,53.0,67.0,2.0,0.6432773109243698,0.27623938318910307,0.6848739495798319,0.00019783111097584688,0.27623938318910307,160.0,10.0,4.0,3.0,2.0,0.513153153153153,0.04239000170645713,0.5378378378378379,0.5511782098914255,0.042390001706457126,125.0,60.0,9.0,6.0
1,1.0,2.0,0.6719632768361581,0.3859167143917523,0.7028954802259887,9.545204130830583e-08,0.3859167143917521,50.0,9.0,53.0,67.0,2.0,0.6411764705882352,0.20145897676119373,0.619327731092437,0.007169367267592523,0.2014589767611937,162.0,8.0,5.0,2.0,2.0,0.5311711711711712,0.10282544953985406,0.5936936936936936,0.1473655264161817,0.10282544953985404,121.0,64.0,7.0,8.0
2,2.0,3.0,0.6565675934803451,0.30211792469089904,0.6612176414189836,5.309387303884405e-06,0.30211792469089904,47.0,23.0,52.0,97.0,3.0,0.6378676470588236,0.10609967398031413,0.6151960784313726,0.1200214019062467,0.10609967398031413,115.0,89.0,4.0,8.0,3.0,0.6617224880382775,0.22154870935851906,0.6979665071770335,0.0005604276099748955,0.22154870935851906,145.0,75.0,5.0,14.0
