,Classifier,Corr: OUTC,p-v: OUTC,MCC: OUTC,Corr: RT_P,p-v: RT_P,MCC: RT_P,Corr: Dece,p-v: Dece,MCC: Dece
0,Nearest Neighbors_01,0.29538131313350174,4.489679298632338e-06,0.29538131313350174,-0.013887549490757716,0.8249958475932392,-0.013887549490757716,0.08721194578884495,0.14406558206154518,0.08721194578884495
1,Nearest Neighbors_02,0.2654696704820422,4.0552487559594424e-05,0.2654696704820422,,,0.0,-0.024584458594722084,0.681019974020922,-0.02458445859472208
2,Nearest Neighbors_03,0.2867373092663288,8.705720626175774e-06,0.2867373092663288,,,0.0,,,0.0
3,Nearest Neighbors_04,0.30344964496353516,2.37256245225217e-06,0.30344964496353516,,,0.0,,,0.0
4,Nearest Neighbors_05,0.20152317751918658,0.001992473885069837,0.20152317751918658,-0.024148829021485126,0.700573457529847,-0.02414882902148513,0.09298150824984225,0.11926493051068517,0.09298150824984225
5,Nearest Neighbors_06,0.19366117426252047,0.002993895538026008,0.1936611742625205,,,0.0,0.1351924582844797,0.023170138342627083,0.13519245828447968
6,Nearest Neighbors_07,0.22035640457134997,0.0007060055935720039,0.22035640457135003,,,0.0,-0.039081370407306346,0.5133550162279477,-0.039081370407306346
7,Nearest Neighbors_08,0.23256592034190277,0.00034348124648453225,0.23256592034190274,,,0.0,-0.030163601332180424,0.6139817707702795,-0.030163601332180417
8,SVM_01,0.19705264218430849,0.0025162436680464455,0.1970526421843085,,,0.0,,,0.0
9,SVM_02,0.2904571914938384,6.56440593041519e-06,0.2904571914938384,,,0.0,,,0.0
10,SVM_03,0.2900805118048981,6.756004842467828e-06,0.29008051180489813,-0.013887549490757716,0.8249958475932392,-0.013887549490757716,0.08721194578884495,0.14406558206154518,0.08721194578884495
11,SVM_04,0.26801431551023885,3.395958043267846e-05,0.26801431551023885,-0.019678584200411787,0.7540171676049447,-0.01967858420041179,0.08721194578884495,0.14406558206154518,0.08721194578884495
12,SVM_05,0.26801431551023885,3.395958043267846e-05,0.26801431551023885,-0.027939937811355627,0.656364446648223,-0.02793993781135563,0.06968683416725757,0.24342783160931494,0.06968683416725756
13,SVM_06,-0.046125285887804034,0.48351622598826727,-0.04612528588780403,,,0.0,,,0.0
14,SVM_07,0.24751672493322943,0.00013484924385974247,0.2475167249332295,,,0.0,-0.017352877720404322,0.771715339479988,-0.017352877720404322
15,SVM_08,0.18607104735359042,0.004373206913472523,0.18607104735359042,0.12107306384920773,0.05301334505535001,0.12107306384920773,0.022406740961674436,0.707921585384943,0.022406740961674436
16,SVM_09,0.23259966354103176,0.00034277976470456,0.23259966354103173,0.10224655218467449,0.10263330769365062,0.10224655218467449,0.06215827669350772,0.29825404246248877,0.06215827669350773
17,SVM_10,0.19779256303258896,0.002421714296463736,0.19779256303258896,0.18945651279646,0.002333883105024691,0.18945651279645997,0.08005548259307974,0.18006938274560833,0.08005548259307974
18,SVM_11,,,0.0,,,0.0,,,0.0
19,SVM_12,0.17126212357490622,0.00880521918116578,0.17126212357490625,,,0.0,,,0.0
20,SVM_13,0.049533799533799536,0.45175263930715714,0.049533799533799536,-0.013887549490757716,0.8249958475932392,-0.013887549490757716,0.17285200170434564,0.0035942844467134498,0.17285200170434564
21,SVM_14,-0.002647958716447046,0.9679320619025525,-0.002647958716447046,-0.042331970805838524,0.5001210921790917,-0.04233197080583852,0.02730864593128421,0.6479309661882118,0.027308645931284205
22,SVM_15,0.00406775127036205,0.9507556708882201,0.00406775127036205,0.023360057383242577,0.7099058270330427,0.023360057383242577,0.16870128201827853,0.004500309840645256,0.16870128201827853
23,SVM_16,,,0.0,,,0.0,,,0.0
24,SVM_17,,,0.0,,,0.0,,,0.0
25,SVM_18,0.21647609434670775,0.0008806378789884577,0.2164760943467078,,,0.0,-0.017352877720404322,0.771715339479988,-0.017352877720404322
26,SVM_19,0.2772852849759223,1.7523016421703086e-05,0.2772852849759223,-0.024148829021485126,0.700573457529847,-0.02414882902148513,-0.039081370407306346,0.5133550162279477,-0.039081370407306346
27,SVM_20,0.18136667275239501,0.005492771026651387,0.18136667275239501,-0.027939937811355627,0.656364446648223,-0.02793993781135563,0.015718432089849962,0.7927038252026946,0.015718432089849962
28,SVM_21,0.17571998296726232,0.007171430023918944,0.17571998296726232,-0.027939937811355627,0.656364446648223,-0.02793993781135563,0.06215827669350772,0.29825404246248877,0.06215827669350773
29,SVM_22,,,0.0,,,0.0,,,0.0
30,SVM_23,0.3164909961137853,8.121651783739501e-07,0.3164909961137853,,,0.0,,,0.0
