,Classifier OUTC,MCC: OUTC,Corr: OUTC,p-v: OUTC,Index: OUTC,Classifier RT_P,MCC: RT_P,Corr: RT_P,p-v: RT_P,Index: RT_P,Classifier Dece,MCC: Dece,Corr: Dece,p-v: Dece,Index: Dece,Representation
0,Nearest Neighbors_03,0.3744369821988666,0.37443698219886656,3.616136392246782e-09,2.0,SVM_14,0.2264082222685391,0.2264082222685391,0.0002598572523206469,21.0,Naive Bayes_04,0.3745169065147722,0.37451690651477226,8.067083372277376e-11,116.0,1
1,Random_Forest_12,0.3392031496984611,0.3392031496984612,1.1079036295000525e-07,62.0,Gradient_43,0.11381102183292095,0.11381102183292095,0.06906777241625045,179.0,Random_Forest_02,0.32361687350142504,0.32361687350142504,2.6875306108606183e-08,52.0,1
2,Gradient_03,0.32433366937574937,0.32433366937574937,4.1574326048324316e-07,139.0,Naive Bayes_04,0.10897497544907336,0.10897497544907336,0.08181459158591244,116.0,Neural Net_08,0.29054360157398823,0.29054360157398823,6.873667427448068e-07,78.0,1
3,Logistic_02,0.3240983779179181,0.3240983779179181,4.2429745673038295e-07,119.0,Decision Tree_04,0.05067407368853635,0.05067407368853635,0.41947282485529797,46.0,Gradient_13,0.27820328245764114,0.2782032824576412,2.0842222105984315e-06,149.0,1
4,Neural Net_05,0.3204574587174123,0.3204574587174123,5.802181626525125e-07,75.0,Gaussian Process_01,0.023360057383242577,0.023360057383242577,0.7099058270330427,38.0,Logistic_04,0.2301989731868349,0.2301989731868349,9.577779262501646e-05,121.0,1
5,Ridge_04,0.3055322674389944,0.3055322674389943,2.006126995952998e-06,130.0,Random Forest_19,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,69.0,Ridge_01,0.2301989731868349,0.2301989731868349,9.577779262501646e-05,127.0,1
6,Gaussian Process_02,0.3028498560037104,0.30284985600371034,2.4894125195998717e-06,39.0,Random_Forest_03,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,53.0,Bagging_02,0.2301989731868349,0.2301989731868349,9.577779262501646e-05,134.0,1
7,SVM_28,0.3015579043613586,0.3015579043613586,2.7600270537687697e-06,35.0,Neural Net_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,71.0,QDA_01,0.2275980827791795,0.22759808277917956,0.00011536604165860078,117.0,1
8,Random Forest_09,0.290322649025598,0.2903226490255979,6.632240572398265e-06,59.0,AdaBoost_05,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,99.0,SVM_15,0.2111888111888112,0.2111888111888112,0.00035552351093619017,22.0,1
9,Decision Tree_02,0.283486951599611,0.28348695159961096,1.1105139221554784e-05,44.0,Logistic_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,118.0,Decision Tree_04,0.2111888111888112,0.2111888111888112,0.00035552351093619017,46.0,1
10,Naive Bayes_03,0.2512599202151977,0.2512599202151977,0.00010572202199786908,115.0,Ridge_02,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,128.0,AdaBoost_17,0.2085416056996376,0.2085416056996376,0.0004230162389465172,111.0,1
11,AdaBoost_11,0.24594811921557966,0.2459481192155796,0.00014916018697145908,105.0,Nearest Neighbors_06,-0.01967858420041179,-0.019678584200411787,0.7540171676049447,5.0,Random Forest_19,0.18921541447348014,0.18921541447348011,0.0014117440216055918,69.0,1
12,Bagging_03,0.22178699084439668,0.22178699084439668,0.0006501314958605969,135.0,Bagging_04,-0.031299964954492186,-0.031299964954492186,0.6181522620451537,136.0,Gaussian Process_05,0.13297957148963307,0.13297957148963307,0.025541382377776818,42.0,1
13,QDA_01,0.2170137358985504,0.2170137358985504,0.0008542716494037776,117.0,QDA,,,,,Nearest Neighbors_08,0.06110905190960629,0.06110905190960628,0.30650011407112504,7.0,1
0,Naive Bayes_03,0.3859167143917523,0.3859167143917521,9.545204130830583e-08,115.0,QDA_01,0.26275839209674684,0.26275839209674684,0.00041041194463709246,117.0,Naive Bayes_04,0.10612024862001466,0.10612024862001466,0.13476147374112002,116.0,2
1,QDA_01,0.3859167143917523,0.3859167143917521,9.545204130830583e-08,117.0,Naive Bayes_04,0.0968364649739137,0.09683646497391367,0.1997679630515358,116.0,Gradient_13,0.03874921291460643,0.03874921291460642,0.5859141798617384,149.0,2
2,Nearest Neighbors_02,0.2888450577462719,0.2888450577462719,8.806374427763e-05,1.0,Gradient_37,0.03510023248587255,0.035100232485872546,0.6427820491179395,173.0,Logistic_01,0.0,0.0,1.0,118.0,2
3,Gradient_43,0.15192109815432925,0.15192109815432922,0.04234380948748327,179.0,SVM_13,-0.02169304578186561,-0.02169304578186561,0.7744216052623246,20.0,SVM_12,-0.020185207913169845,-0.020185207913169856,0.7766390927215687,19.0,2
4,Random_Forest_02,0.12855815948255198,0.12855815948255198,0.08633328047876627,52.0,Nearest Neighbors,,,,,Random_Forest_02,-0.020185207913169845,-0.020185207913169856,0.7766390927215687,52.0,2
5,Bagging_02,0.12855815948255198,0.12855815948255198,0.08633328047876627,134.0,Gaussian Process,,,,,Bagging_02,-0.020185207913169845,-0.020185207913169856,0.7766390927215687,134.0,2
6,Random Forest_11,0.1165658615451566,0.1165658615451566,0.12020322316246465,61.0,Decision Tree,,,,,Nearest Neighbors_01,-0.028618190351607124,-0.028618190351607124,0.6874868586678768,0.0,2
7,SVM_03,0.02709736135675699,0.027097361356756985,0.7187990805367772,10.0,Random Forest,,,,,Random Forest_11,-0.03513882859951953,-0.035138828599519535,0.6213232401394477,61.0,2
8,Gaussian Process_01,0.02709736135675699,0.027097361356756985,0.7187990805367772,38.0,Random_Forest,,,,,QDA_01,-0.045596075258755316,-0.045596075258755316,0.5214462569111289,117.0,2
9,Neural Net_01,0.02709736135675699,0.027097361356756985,0.7187990805367772,71.0,Neural Net,,,,,Gaussian Process,,,,,2
10,AdaBoost_05,0.02709736135675699,0.027097361356756985,0.7187990805367772,99.0,AdaBoost,,,,,Decision Tree,,,,,2
11,Logistic_03,0.02709736135675699,0.027097361356756985,0.7187990805367772,120.0,Logistic,,,,,Neural Net,,,,,2
12,Ridge_01,0.02709736135675699,0.027097361356756985,0.7187990805367772,127.0,Ridge,,,,,AdaBoost,,,,,2
13,Decision Tree_02,0.014880530603182616,0.014880530603182618,0.8432765736007201,44.0,Bagging,,,,,Ridge,,,,,2
0,QDA_01,0.30315712368418396,0.30315712368418396,4.909631178212432e-06,117.0,Naive Bayes_04,0.10374790352046764,0.10374790352046764,0.1285024814641129,116.0,Decision Tree_02,0.2447244302590248,0.2447244302590249,0.00013248764573419778,44.0,3
