,Classifier,Corr: OUTC,p-v: OUTC,MCC: OUTC,Corr: RT_P,p-v: RT_P,MCC: RT_P,Corr: Dece,p-v: Dece,MCC: Dece
0,Nearest Neighbors_01,0.23501018459658815,0.0015419804008554546,0.23501018459658812,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
1,Nearest Neighbors_02,0.27021453240254495,0.0002540071014887025,0.27021453240254495,,,0.0,,,0.0
2,Nearest Neighbors_03,0.2900319627961687,8.210708270572564e-05,0.2900319627961687,,,0.0,,,0.0
3,Nearest Neighbors_04,0.18817652855269917,0.011650095895241767,0.18817652855269917,,,0.0,,,0.0
4,Nearest Neighbors_05,0.21624293785310736,0.003645121557771925,0.21624293785310733,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
5,Nearest Neighbors_06,0.2605206897771759,0.00042809452458529324,0.2605206897771759,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
6,Nearest Neighbors_07,0.27021453240254495,0.0002540071014887025,0.27021453240254495,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
7,Nearest Neighbors_08,0.16591922285737692,0.026438831373304193,0.16591922285737692,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
8,SVM_01,,,0.0,,,0.0,,,0.0
9,SVM_02,,,0.0,,,0.0,,,0.0
10,SVM_03,,,0.0,,,0.0,,,0.0
11,SVM_04,,,0.0,,,0.0,,,0.0
12,SVM_05,,,0.0,,,0.0,,,0.0
13,SVM_06,,,0.0,,,0.0,,,0.0
14,SVM_07,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
15,SVM_08,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
16,SVM_09,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
17,SVM_10,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
18,SVM_11,,,0.0,,,0.0,,,0.0
19,SVM_12,-0.11886274643647375,0.11302146318097617,-0.11886274643647377,,,0.0,-0.020185207913169856,0.7766390927215687,-0.020185207913169852
20,SVM_13,-0.14145561113819635,0.05891902588894941,-0.14145561113819635,0.14036720039888587,0.06239625111445757,0.14036720039888587,-0.06532553344640132,0.35807780657885135,-0.06532553344640132
21,SVM_14,-0.14145561113819635,0.05891902588894941,-0.14145561113819635,0.12217619834057421,0.10523080906326143,0.12217619834057422,-0.06869501232989714,0.3337704727663917,-0.06869501232989714
22,SVM_15,-0.14145561113819635,0.05891902588894941,-0.14145561113819635,0.12217619834057421,0.10523080906326143,0.12217619834057422,-0.07194017065667524,0.3113836755134642,-0.07194017065667525
23,SVM_16,,,0.0,,,0.0,,,0.0
24,SVM_17,,,0.0,,,0.0,,,0.0
25,SVM_18,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
26,SVM_19,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
27,SVM_20,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
28,SVM_21,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
29,SVM_22,,,0.0,,,0.0,,,0.0
30,SVM_23,,,0.0,,,0.0,,,0.0
31,SVM_24,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
32,SVM_25,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
33,SVM_26,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
34,SVM_27,,,0.0,,,0.0,,,0.0
35,SVM_28,,,0.0,,,0.0,,,0.0
36,SVM_29,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
37,SVM_30,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
38,Gaussian Process_01,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
39,Gaussian Process_02,,,0.0,,,0.0,,,0.0
40,Gaussian Process_03,,,0.0,,,0.0,,,0.0
41,Gaussian Process_04,,,0.0,,,0.0,,,0.0
42,Gaussian Process_05,,,0.0,,,0.0,,,0.0
43,Decision Tree_01,,,0.0,,,0.0,,,0.0
44,Decision Tree_02,0.11971595530625753,0.11044075525938012,0.11971595530625755,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
45,Decision Tree_03,0.11971595530625753,0.11044075525938012,0.11971595530625755,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
46,Decision Tree_04,0.11971595530625753,0.11044075525938012,0.11971595530625755,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
47,Decision Tree_05,0.11971595530625753,0.11044075525938012,0.11971595530625755,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
48,Decision Tree_06,0.11971595530625753,0.11044075525938012,0.11971595530625755,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
49,Decision Tree_07,0.11971595530625753,0.11044075525938012,0.11971595530625755,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
50,Decision Tree_08,0.11971595530625753,0.11044075525938012,0.11971595530625755,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
51,Random Forest_01,0.11971595530625753,0.11044075525938012,0.11971595530625755,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
52,Random_Forest_02,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,,,0.0
53,Random_Forest_03,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
54,Random_Forest_04,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
55,Random_Forest_05,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
56,Random_Forest_06,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,,,0.0
57,Random_Forest_07,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
58,Random_Forest_08,0.1292508417597758,0.08463851116521492,0.1292508417597758,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
59,Random Forest_09,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.028618190351607127,0.6874868586678768,-0.028618190351607124
60,Random_Forest_10,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,,,0.0
61,Random Forest_11,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
62,Random_Forest_12,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
63,Random_Forest_13,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
64,Random_Forest_14,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,,,0.0
65,Random_Forest_15,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
66,Random_Forest_16,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
67,Random_Forest_17,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
68,Random_Forest_18,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,,,0.0
69,Random Forest_19,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
70,Random_Forest_20,0.13893345592517936,0.06362676085086581,0.13893345592517936,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
71,Neural Net_01,0.1944047216366788,0.009116263966265236,0.19440472163667882,,,0.0,-0.03513882859951954,0.6213232401394477,-0.035138828599519535
72,Neural Net_02,,,0.0,,,0.0,,,0.0
73,Neural Net_03,,,0.0,,,0.0,,,0.0
74,Neural Net_04,,,0.0,,,0.0,,,0.0
75,Neural Net_05,,,0.0,,,0.0,,,0.0
76,Neural Net_06,0.0767517206060743,0.30716859521985246,0.0767517206060743,,,0.0,,,0.0
77,Neural Net_07,0.0767517206060743,0.30716859521985246,0.0767517206060743,,,0.0,,,0.0
78,Neural Net_08,,,0.0,,,0.0,,,0.0
79,Neural Net_09,,,0.0,,,0.0,,,0.0
80,Neural Net_10,,,0.0,,,0.0,,,0.0
81,Neural Net_11,,,0.0,,,0.0,,,0.0
