,Classifier,Corr: OUTC,p-v: OUTC,MCC: OUTC,Corr: RT_P,p-v: RT_P,MCC: RT_P,Corr: Dece,p-v: Dece,MCC: Dece
0,Nearest Neighbors_01,0.20491869682925343,0.0059290297802247404,0.20491869682925345,,,0.0,-0.06334893446350144,0.37283838105515543,-0.06334893446350144
1,Nearest Neighbors_02,0.20491869682925343,0.0059290297802247404,0.20491869682925345,,,0.0,,,0.0
2,Nearest Neighbors_03,0.2208171402043054,0.0029742200445662813,0.22081714020430537,,,0.0,,,0.0
3,Nearest Neighbors_04,0.2139127891425289,0.004036877140656857,0.2139127891425289,,,0.0,,,0.0
4,Nearest Neighbors_05,0.19602023424660733,0.008544482867368607,0.19602023424660733,-0.01529566014434607,0.839865489852859,-0.015295660144346072,-0.06334893446350144,0.37283838105515543,-0.06334893446350144
5,Nearest Neighbors_06,0.19602023424660733,0.008544482867368607,0.19602023424660733,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
6,Nearest Neighbors_07,0.20491869682925343,0.0059290297802247404,0.20491869682925345,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
7,Nearest Neighbors_08,0.20491869682925343,0.0059290297802247404,0.20491869682925345,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
8,SVM_01,,,0.0,,,0.0,,,0.0
9,SVM_02,,,0.0,,,0.0,,,0.0
10,SVM_03,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
11,SVM_04,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
12,SVM_05,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
13,SVM_06,,,0.0,,,0.0,,,0.0
14,SVM_07,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
15,SVM_08,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
16,SVM_09,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
17,SVM_10,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
18,SVM_11,,,0.0,,,0.0,,,0.0
19,SVM_12,-0.05255637244563397,0.48473123633029935,-0.05255637244563398,,,0.0,,,0.0
20,SVM_13,-0.02560408184770394,0.7336945014046252,-0.025604081847703943,-0.03459754939409159,0.6475516514486129,-0.03459754939409159,-0.06532553344640132,0.35807780657885135,-0.06532553344640132
21,SVM_14,-0.02560408184770394,0.7336945014046252,-0.025604081847703943,-0.03459754939409159,0.6475516514486129,-0.03459754939409159,0.014571669282099391,0.8377333001825322,0.014571669282099393
22,SVM_15,-0.02560408184770394,0.7336945014046252,-0.025604081847703943,-0.03459754939409159,0.6475516514486129,-0.03459754939409159,0.007993352295186138,0.9105567556030708,0.00799335229518614
23,SVM_16,,,0.0,,,0.0,,,0.0
24,SVM_17,,,0.0,,,0.0,,,0.0
25,SVM_18,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
26,SVM_19,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
27,SVM_20,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
28,SVM_21,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
29,SVM_22,,,0.0,,,0.0,,,0.0
30,SVM_23,0.03799675535052764,0.6135708557142532,0.03799675535052765,,,0.0,,,0.0
31,SVM_24,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
32,SVM_25,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
33,SVM_26,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
34,SVM_27,,,0.0,,,0.0,,,0.0
35,SVM_28,0.03799675535052764,0.6135708557142532,0.03799675535052765,,,0.0,,,0.0
36,SVM_29,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
37,SVM_30,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
38,Gaussian Process_01,0.03799675535052764,0.6135708557142532,0.03799675535052765,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
39,Gaussian Process_02,0.03799675535052764,0.6135708557142532,0.03799675535052765,,,0.0,,,0.0
40,Gaussian Process_03,,,0.0,,,0.0,,,0.0
41,Gaussian Process_04,0.03799675535052764,0.6135708557142532,0.03799675535052765,,,0.0,,,0.0
42,Gaussian Process_05,0.03799675535052764,0.6135708557142532,0.03799675535052765,,,0.0,,,0.0
43,Decision Tree_01,,,0.0,,,0.0,,,0.0
44,Decision Tree_02,0.026049051524628417,0.7292452418529741,0.02604905152462842,-0.01529566014434607,0.839865489852859,-0.015295660144346072,,,0.0
