,Classifier OUTC,MCC: OUTC,Corr: OUTC,p-v: OUTC,Index: OUTC,Classifier RT_P,MCC: RT_P,Corr: RT_P,p-v: RT_P,Index: RT_P,Classifier Dece,MCC: Dece,Corr: Dece,p-v: Dece,Index: Dece,Representation
0,Naive Bayes_04,0.3022266322792306,0.3022266322792306,5.266163616230162e-06,116.0,Naive Bayes_04,0.12052460206385372,0.12052460206385372,0.07714233022106126,116.0,Decision Tree_02,0.3125902046136936,0.3125902046136937,8.16743702580143e-07,44.0,3
1,QDA_01,0.2963113896108609,0.2963113896108609,8.177138923783964e-06,117.0,Gradient_37,-0.02692917648170919,-0.026929176481709186,0.6939123112674029,173.0,Random Forest_01,0.3125902046136936,0.3125902046136937,8.16743702580143e-07,51.0,3
2,Nearest Neighbors_02,0.2895135150740763,0.2895135150740764,1.3398894458287049e-05,1.0,Nearest Neighbors,,,,,Bagging_02,0.3125902046136936,0.3125902046136937,8.16743702580143e-07,134.0,3
3,Logistic_01,0.20227509028778407,0.20227509028778407,0.002634781368754177,118.0,SVM,,,,,Gradient_01,0.3125902046136936,0.3125902046136937,8.16743702580143e-07,137.0,3
4,Gradient_37,0.13215008248449292,0.13215008248449295,0.05081666700494954,173.0,Gaussian Process,,,,,Naive Bayes_04,0.2437376509072461,0.2437376509072461,0.0001412924873688126,116.0,3
5,Neural Net_23,0.11604823463756254,0.11604823463756254,0.08665324729362471,93.0,Decision Tree,,,,,Nearest Neighbors_01,0.2205698061002767,0.2205698061002768,0.0005937686607616605,0.0,3
6,AdaBoost_07,0.11604823463756254,0.11604823463756254,0.08665324729362471,101.0,Random Forest,,,,,SVM_07,0.2205698061002767,0.2205698061002768,0.0005937686607616605,14.0,3
7,SVM_08,0.10680781622871012,0.10680781622871012,0.11500794238252884,15.0,Random_Forest,,,,,Random_Forest_02,0.2205698061002767,0.2205698061002768,0.0005937686607616605,52.0,3
8,Random Forest_09,0.10680781622871012,0.10680781622871012,0.11500794238252884,59.0,Neural Net,,,,,QDA_01,0.14279688892580095,0.14279688892580095,0.027290555625940405,117.0,3
9,Random_Forest_05,0.10680781622871012,0.10680781622871012,0.11500794238252884,55.0,AdaBoost,,,,,Logistic_01,0.0053436676734494775,0.005343667673449478,0.9345047113457146,118.0,3
10,Bagging_02,0.0996481422847949,0.09964814228479488,0.14159437734908414,134.0,QDA,,,,,AdaBoost_07,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,101.0,3
11,Decision Tree_02,0.08892181722778605,0.08892181722778608,0.1898609841169203,44.0,Logistic,,,,,Ridge_01,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,127.0,3
12,Gaussian Process_03,-0.04642240530501738,-0.04642240530501738,0.4943377426691027,40.0,Ridge,,,,,Gaussian Process,,,,,3
13,Ridge_03,-0.04642240530501738,-0.04642240530501738,0.4943377426691027,129.0,Bagging,,,,,Neural Net,,,,,3
0,Naive Bayes_03,0.14912280701754385,0.14912280701754385,0.14489168659709387,115.0,Random Forest_11,0.5782608695652174,0.5782608695652173,5.551176296792457e-10,61.0,Nearest Neighbors_01,0.053300179088902604,0.053300179088902604,0.5910120839424675,0.0,4
1,QDA_01,0.14912280701754385,0.14912280701754385,0.14489168659709387,117.0,Random_Forest_02,0.5782608695652174,0.5782608695652173,5.551176296792457e-10,52.0,Random Forest_09,-0.042014581590156766,-0.042014581590156766,0.6719488220847284,59.0,4
2,Nearest Neighbors_03,0.1038710800176336,0.10387108001763358,0.3113031460682629,2.0,Bagging_02,0.5782608695652174,0.5782608695652173,5.551176296792457e-10,134.0,Random_Forest_08,-0.042014581590156766,-0.042014581590156766,0.6719488220847284,58.0,4
3,Gradient_31,-0.04939629759718845,-0.049396297597188464,0.6308834078904101,167.0,Neural Net_01,0.5207931581893314,0.5207931581893314,4.540856189448008e-08,71.0,Neural Net_04,-0.042014581590156766,-0.042014581590156766,0.6719488220847284,74.0,4
4,SVM_07,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,14.0,AdaBoost_06,0.5207931581893314,0.5207931581893314,4.540856189448008e-08,100.0,AdaBoost_06,-0.042014581590156766,-0.042014581590156766,0.6719488220847284,100.0,4
5,Random Forest_09,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,59.0,Naive Bayes_01,0.5207931581893314,0.5207931581893314,4.540856189448008e-08,113.0,Gradient_44,-0.042014581590156766,-0.042014581590156766,0.6719488220847284,180.0,4
6,Random_Forest_08,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,58.0,Gradient_01,0.5207931581893314,0.5207931581893314,4.540856189448008e-08,137.0,Ridge_03,-0.059708143402653215,-0.05970814340265323,0.5471181293778984,129.0,4
7,AdaBoost_13,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,107.0,SVM_14,0.4755440747309677,0.4755440747309677,8.550058090758294e-07,21.0,SVM_07,-0.07348836679370008,-0.07348836679370006,0.4584614657810859,14.0,4
8,Logistic_04,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,121.0,Nearest Neighbors_01,0.3673913043478261,0.367391304347826,0.00021406413512567305,0.0,Logistic_04,-0.07348836679370008,-0.07348836679370006,0.4584614657810859,121.0,4
