,Classifier OUTC,MCC: OUTC,Corr: OUTC,p-v: OUTC,Index: OUTC,Classifier RT_P,MCC: RT_P,Corr: RT_P,p-v: RT_P,Index: RT_P,Classifier Dece,MCC: Dece,Corr: Dece,p-v: Dece,Index: Dece,Representation
0,Neural Net_15,0.4004114932781943,0.4004114932781943,2.2002549093650197e-10,85.0,SVM_29,0.20995272258175168,0.2099527225817517,0.0007233803902829094,36.0,QDA_01,0.35647892483485943,0.35647892483485955,7.121144986740503e-10,117.0,1
1,Random Forest_09,0.38126526564461743,0.3812652656446174,1.7736352957424435e-09,59.0,Gradient_51,0.190226313937314,0.190226313937314,0.002237991508087164,187.0,Naive Bayes_04,0.3431216129246516,0.34312161292465165,3.2787229424787583e-09,116.0,1
2,Gaussian Process_02,0.3685976722405163,0.3685976722405164,6.56426039569285e-09,39.0,Naive Bayes_01,0.08779841126145979,0.0877984112614598,0.161331923536575,113.0,Gradient_12,0.32040148720307243,0.3204014872030724,3.748881208342949e-08,148.0,1
3,Random_Forest_07,0.35764061321064905,0.357640613210649,1.9468577666596064e-08,57.0,Decision Tree_02,0.058010478511704634,0.058010478511704634,0.35527596490765706,44.0,Decision Tree_04,0.2111888111888112,0.2111888111888112,0.00035552351093619017,46.0,1
4,Logistic_08,0.34869590210932844,0.34869590210932844,4.5894162852117096e-08,125.0,Random Forest_01,0.023360057383242577,0.023360057383242577,0.7099058270330427,51.0,Logistic_04,0.2085416056996376,0.2085416056996376,0.0004230162389465172,121.0,1
5,Gradient_46,0.34661590815195825,0.3466159081519582,5.5810191250234794e-08,182.0,Nearest Neighbors_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,0.0,Random Forest_09,0.2050794639684147,0.2050794639684147,0.0005292879850888147,59.0,1
6,Ridge_05,0.3305791572108634,0.33057915721086345,2.4059934257063976e-07,131.0,AdaBoost_02,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,96.0,Random_Forest_08,0.2050794639684147,0.2050794639684147,0.0005292879850888147,58.0,1
7,SVM_28,0.32935775098825754,0.32935775098825754,2.680189478500163e-07,35.0,Logistic_04,-0.01967858420041179,-0.019678584200411787,0.7540171676049447,121.0,Neural Net_05,0.2050794639684147,0.2050794639684147,0.0005292879850888147,75.0,1
8,Bagging_02,0.31347950576657463,0.3134795057665746,1.0450495732572599e-06,134.0,Ridge_01,-0.01967858420041179,-0.019678584200411787,0.7540171676049447,127.0,Bagging_02,0.20069808240170176,0.20069808240170176,0.0006992318190590088,134.0,1
9,Nearest Neighbors_04,0.3034496449635352,0.3034496449635352,2.3725624522521703e-06,3.0,Bagging_03,-0.01967858420041179,-0.019678584200411787,0.7540171676049447,135.0,SVM_13,0.17285200170434564,0.17285200170434564,0.0035942844467134493,20.0,1
