,Classifier,Corr: OUTC,p-v: OUTC,MCC: OUTC,Corr: RT_P,p-v: RT_P,MCC: RT_P,Corr: Dece,p-v: Dece,MCC: Dece
0,Nearest Neighbors_01,0.3807868056802524,6.235881082335743e-09,0.38078680568025247,0.11646799679978484,0.08845525803485553,0.11646799679978487,0.2666939600327258,3.0669259500249794e-05,0.2666939600327258
1,Nearest Neighbors_02,0.3679845834093316,2.1469982167893276e-08,0.36798458340933166,,,0.0,0.2493060253372305,0.00010131713774331969,0.24930602533723054
2,Nearest Neighbors_03,0.3380194055574832,3.163897722230099e-07,0.3380194055574833,,,0.0,,,0.0
3,Nearest Neighbors_04,0.3510527019905392,1.0159820666110851e-07,0.35105270199053923,,,0.0,,,0.0
4,Nearest Neighbors_05,0.30039820141863366,6.345659684698499e-06,0.30039820141863366,0.18749510145187526,0.005821133669536933,0.1874951014518753,0.23050517746428503,0.00033611652813721356,0.2305051774642851
5,Nearest Neighbors_06,0.2871716593912591,1.65690156555944e-05,0.2871716593912591,,,0.0,0.2666939600327258,3.0669259500249794e-05,0.2666939600327258
6,Nearest Neighbors_07,0.29355044756841286,1.0491971345391856e-05,0.2935504475684128,,,0.0,0.13223312215896824,0.04152874803988158,0.13223312215896824
7,Nearest Neighbors_08,0.2851122957860219,1.9157816337026117e-05,0.2851122957860219,,,0.0,0.08208772737999444,0.20700236965676613,0.08208772737999445
8,SVM_01,0.12177752185754491,0.07275403899726404,0.12177752185754491,,,0.0,,,0.0
9,SVM_02,0.31223171793286497,2.581100887242101e-06,0.31223171793286497,,,0.0,0.2891227177445781,5.785174670173326e-06,0.28912271774457815
10,SVM_03,0.37645258454814323,9.534318173974087e-09,0.3764525845481433,0.09691665282503334,0.15673784518454836,0.09691665282503331,0.2425781391829176,0.00015732534327489507,0.24257813918291762
11,SVM_04,0.35940310561886785,4.7738744809985565e-08,0.35940310561886785,0.15151734957639737,0.026312318131231,0.15151734957639737,0.23046150063453955,0.00033701718157821124,0.2304615006345396
12,SVM_05,0.35940310561886785,4.7738744809985565e-08,0.35940310561886785,0.20566502463054184,0.002441290177929965,0.20566502463054187,0.24604762658562068,0.00012557677874174973,0.24604762658562068
13,SVM_06,,,0.0,,,0.0,,,0.0
14,SVM_07,0.23699975401047624,0.00041624916812744344,0.2369997540104763,,,0.0,0.2811440057876553,1.0647529040172896e-05,0.2811440057876553
15,SVM_08,0.2822793578776329,2.3349348724859844e-05,0.2822793578776329,-0.023559593899712076,0.731233388980578,-0.02355959389971208,0.12401982925543002,0.05605676227819464,0.12401982925543005
16,SVM_09,0.355095786489194,7.067211949428391e-08,0.35509578648919404,0.3278439787542991,8.84888231931334e-07,0.32784397875429916,0.19923095409757266,0.002012210169724406,0.1992309540975727
17,SVM_10,0.2882788634644954,1.5317728890544258e-05,0.28827886346449544,0.25268576621902294,0.00018079009027710576,0.25268576621902294,0.21508959479847126,0.000837939303908533,0.21508959479847126
18,SVM_11,,,0.0,,,0.0,,,0.0
19,SVM_12,0.20014034677618261,0.0029961031908837814,0.20014034677618261,,,0.0,,,0.0
20,SVM_13,0.10339923789115431,0.12801490517784456,0.10339923789115431,-0.01662017978644321,0.8085510085127154,-0.01662017978644321,0.08283295071731374,0.2028952818943432,0.08283295071731375
21,SVM_14,0.09552853159341884,0.1598520149293932,0.09552853159341886,0.2939244663382594,1.1768526912395624e-05,0.2939244663382594,0.2425781391829176,0.00015732534327489507,0.24257813918291762
22,SVM_15,0.13389658035760363,0.04832565710642829,0.13389658035760363,0.2349328411811195,0.0005138088647116242,0.2349328411811195,0.22713512479686715,0.0004125915999233076,0.22713512479686723
23,SVM_16,,,0.0,,,0.0,,,0.0
24,SVM_17,,,0.0,,,0.0,,,0.0
25,SVM_18,0.21445231964492179,0.001446102672005853,0.2144523196449218,,,0.0,-0.03327985606318222,0.6094525235494468,-0.03327985606318222
26,SVM_19,0.1982027554386149,0.0032946899330404495,0.1982027554386149,,,0.0,0.05152324523636098,0.4288256736838856,0.051523245236360975
27,SVM_20,0.21886567521594988,0.001144113566102808,0.21886567521594988,,,0.0,0.040479527191520884,0.5343004988056219,0.04047952719152089
28,SVM_21,0.26123549086332937,9.504278120767527e-05,0.26123549086332937,,,0.0,0.14467469276865746,0.02561912853789044,0.14467469276865746
29,SVM_22,,,0.0,,,0.0,,,0.0
30,SVM_23,0.331433402027736,5.508908537060913e-07,0.3314334020277361,,,0.0,0.08208772737999444,0.20700236965676613,0.08208772737999445
31,SVM_24,0.39010166444576877,2.451288861536229e-09,0.3901016644457689,0.14380892212502935,0.03508930256673957,0.14380892212502935,0.08283295071731374,0.2028952818943432,0.08283295071731375
32,SVM_25,0.3771420346739169,8.915349935399695e-09,0.3771420346739169,0.4120428588903936,3.2139254622755074e-10,0.4120428588903936,0.06564077337438198,0.31325621351477617,0.065640773374382
33,SVM_26,0.3108553109900978,2.8715850901863363e-06,0.3108553109900978,0.4120428588903936,3.2139254622755074e-10,0.4120428588903936,0.07233894682121034,0.2663220739582054,0.07233894682121034
34,SVM_27,,,0.0,,,0.0,,,0.0
35,SVM_28,0.3454721913461242,1.6629114571274033e-07,0.3454721913461243,,,0.0,0.142711883660791,0.027711951945705877,0.14271188366079102
36,SVM_29,0.37645258454814323,9.534318173974087e-09,0.3764525845481433,0.09691665282503334,0.15673784518454836,0.09691665282503331,0.06564077337438198,0.31325621351477617,0.065640773374382
37,SVM_30,0.4235542058030216,6.682330069970144e-11,0.42355420580302167,0.2733402178705219,4.860819620866473e-05,0.27334021787052193,0.06564077337438198,0.31325621351477617,0.065640773374382
38,Gaussian Process_01,0.38522567280368825,4.010902718802234e-09,0.38522567280368825,0.35385418286164844,9.725224512024276e-08,0.35385418286164855,0.15027383997292484,0.02037920933925402,0.15027383997292487
39,Gaussian Process_02,0.3339329487547212,4.4701186611814317e-07,0.3339329487547212,,,0.0,,,0.0
40,Gaussian Process_03,0.30855031875872074,3.4289903521208943e-06,0.30855031875872074,,,0.0,0.3157403120938629,6.587017415058307e-07,0.31574031209386294
41,Gaussian Process_04,0.3291719825083535,6.644718230661331e-07,0.3291719825083535,,,0.0,,,0.0
42,Gaussian Process_05,0.30010185659576327,6.486989425099432e-06,0.30010185659576327,,,0.0,,,0.0
43,Decision Tree_01,,,0.0,,,0.0,,,0.0
44,Decision Tree_02,0.33330502228132136,4.7118517782160385e-07,0.3333050222813214,0.023327382404398942,0.7337820686889363,0.023327382404398942,0.22713512479686715,0.0004125915999233076,0.22713512479686723
45,Decision Tree_03,0.3325043550130199,5.038285195436979e-07,0.33250435501301984,-0.05369893512711304,0.4334179303605109,-0.05369893512711303,0.23681398156063713,0.0002271516118379374,0.23681398156063718
46,Decision Tree_04,0.3679845834093316,2.1469982167893276e-08,0.36798458340933166,-0.05369893512711304,0.4334179303605109,-0.05369893512711303,0.23681398156063713,0.0002271516118379374,0.23681398156063718
47,Decision Tree_05,0.3679845834093316,2.1469982167893276e-08,0.36798458340933166,-0.05369893512711304,0.4334179303605109,-0.05369893512711303,0.23681398156063713,0.0002271516118379374,0.23681398156063718
48,Decision Tree_06,0.2581169316224202,0.00011588886213861693,0.2581169316224203,-0.05369893512711304,0.4334179303605109,-0.05369893512711303,0.22713512479686715,0.0004125915999233076,0.22713512479686723
49,Decision Tree_07,0.2878306565438901,1.5813083774682147e-05,0.2878306565438901,-0.06167918059468196,0.36813125493361654,-0.06167918059468195,0.2617970068076283,4.330732220344077e-05,0.26179700680762835
50,Decision Tree_08,0.3399593391051148,2.6804561660653255e-07,0.33995933910511483,-0.06167918059468196,0.36813125493361654,-0.06167918059468195,0.2617970068076283,4.330732220344077e-05,0.26179700680762835
51,Random Forest_01,0.3399593391051148,2.6804561660653255e-07,0.33995933910511483,-0.06167918059468196,0.36813125493361654,-0.06167918059468195,0.2617970068076283,4.330732220344077e-05,0.26179700680762835
52,Random_Forest_02,0.25798446572610634,0.00011686275987137714,0.2579844657261064,-0.01662017978644321,0.8085510085127154,-0.01662017978644321,0.20310870921556612,0.0016337786489396787,0.20310870921556615
53,Random_Forest_03,0.3634880901250579,3.2729726327472706e-08,0.36348809012505784,-0.023559593899712076,0.731233388980578,-0.02355959389971208,0.11709470068655412,0.07136524272662265,0.11709470068655414
54,Random_Forest_04,0.3592077638166146,4.8601823962084335e-08,0.3592077638166146,-0.01662017978644321,0.8085510085127154,-0.01662017978644321,0.20310870921556612,0.0016337786489396787,0.20310870921556615
55,Random_Forest_05,0.36603141583096904,2.580571628643572e-08,0.3660314158309691,-0.01662017978644321,0.8085510085127154,-0.01662017978644321,0.2666939600327258,3.0669259500249794e-05,0.2666939600327258
56,Random_Forest_06,0.3504186236724122,1.0750012389452726e-07,0.35041862367241217,,,0.0,-0.027115257895550287,0.6772724325403403,-0.027115257895550297
57,Random_Forest_07,0.347834694308708,1.3514067972119186e-07,0.34783469430870806,,,0.0,,,0.0
58,Random_Forest_08,0.37747701496138397,8.628797153133835e-09,0.377477014961384,,,0.0,0.142711883660791,0.027711951945705877,0.14271188366079102
59,Random Forest_09,0.38646729414823083,3.5409461983809824e-09,0.38646729414823083,,,0.0,0.22053172977474622,0.000611256760055105,0.22053172977474628
