,Classifier,Corr: OUTC,p-v: OUTC,MCC: OUTC,Corr: RT_P,p-v: RT_P,MCC: RT_P,Corr: Dece,p-v: Dece,MCC: Dece
0,Nearest Neighbors_01,0.0044472441246569865,0.9655160621390015,0.004447244124656987,-0.03382550457458692,0.7422176792805134,-0.03382550457458691,0.053300179088902604,0.5910120839424675,0.053300179088902604
1,Nearest Neighbors_02,0.08711041397882671,0.3961982890834964,0.08711041397882673,,,0.0,,,0.0
2,Nearest Neighbors_03,-0.009336726293719871,0.9276785518235707,-0.009336726293719873,,,0.0,,,0.0
3,Nearest Neighbors_04,-0.05364969220493451,0.6017298844919783,-0.05364969220493451,,,0.0,,,0.0
4,Nearest Neighbors_05,-0.013578253510595774,0.8949821372134434,-0.013578253510595778,-0.04164738992880095,0.6854498622925127,-0.04164738992880095,0.02874797872880345,0.7720537637074418,0.02874797872880345
5,Nearest Neighbors_06,0.02104145638087667,0.8379077590837494,0.02104145638087667,-0.04164738992880095,0.6854498622925127,-0.04164738992880095,-0.08528028654224416,0.3893757970911538,-0.08528028654224416
6,Nearest Neighbors_07,-0.10905429804558683,0.28764064733642963,-0.10905429804558686,-0.04164738992880095,0.6854498622925127,-0.04164738992880095,-0.08528028654224416,0.3893757970911538,-0.08528028654224416
7,Nearest Neighbors_08,-0.13497638119975425,0.18744643646131506,-0.13497638119975428,-0.04164738992880095,0.6854498622925127,-0.04164738992880095,-0.08528028654224416,0.3893757970911538,-0.08528028654224416
8,SVM_01,,,0.0,,,0.0,,,0.0
9,SVM_02,,,0.0,-0.04164738992880095,0.6854498622925127,-0.04164738992880095,,,0.0
10,SVM_03,-0.12254453260507332,0.23177832872597423,-0.12254453260507334,-0.04164738992880095,0.6854498622925127,-0.04164738992880095,-0.09582659576267817,0.33321354691860283,-0.09582659576267816
11,SVM_04,-0.13497638119975425,0.18744643646131506,-0.13497638119975428,-0.04164738992880095,0.6854498622925127,-0.04164738992880095,-0.09582659576267817,0.33321354691860283,-0.09582659576267816
12,SVM_05,-0.13497638119975425,0.18744643646131506,-0.13497638119975428,-0.04164738992880095,0.6854498622925127,-0.04164738992880095,-0.09582659576267817,0.33321354691860283,-0.09582659576267816
13,SVM_06,,,0.0,,,0.0,,,0.0
