,Representation,AUROC: OUTC,MCC: OUTC,Bal.Acc: OUTC,p-v: OUTC,Corr: OUTC,"CM[0,0]: OUTC","CM[0,1]: OUTC","CM[1,0]: OUTC","CM[1,1]: OUTC",Representation,AUROC: RT_P,MCC: RT_P,Bal.Acc: RT_P,p-v: RT_P,Corr: RT_P,"CM[0,0]: RT_P","CM[0,1]: RT_P","CM[1,0]: RT_P","CM[1,1]: RT_P",Representation,AUROC: Dece,MCC: Dece,Bal.Acc: Dece,p-v: Dece,Corr: Dece,"CM[0,0]: Dece","CM[0,1]: Dece","CM[1,0]: Dece","CM[1,1]: Dece"
0,1.0,0.689019314019314,0.3744369821988666,0.6597152847152847,3.616136392246782e-09,0.37443698219886656,32.0,45.0,15.0,141.0,1.0,0.5939207650273224,0.2264082222685391,0.6086065573770492,0.0002598572523206469,0.2264082222685391,236.0,8.0,9.0,3.0,1.0,0.8268356643356644,0.3745169065147722,0.794055944055944,8.067083372277377e-11,0.37451690651477226,212.0,48.0,5.0,17.0
1,2.0,0.6725282485875705,0.3859167143917523,0.7028954802259887,9.545204130830585e-08,0.38591671439175224,50.0,9.0,53.0,67.0,2.0,0.6407563025210085,0.26275839209674684,0.6819327731092437,0.00041041194463709246,0.26275839209674684,159.0,11.0,4.0,3.0,2.0,0.5354954954954955,0.10612024862001466,0.5963963963963964,0.13476147374112002,0.10612024862001466,122.0,63.0,7.0,8.0
2,3.0,0.6445829338446789,0.303157123684184,0.6599232981783317,4.909631178212432e-06,0.303157123684184,44.0,26.0,46.0,103.0,3.0,0.5833333333333334,0.10374790352046763,0.6127450980392157,0.1285024814641129,0.10374790352046764,114.0,90.0,4.0,8.0,3.0,0.6299043062200956,0.24472443025902482,0.5503588516746412,0.00013248764573419778,0.24472443025902488,219.0,1.0,17.0,2.0
3,4.0,0.5209899749373433,0.11892135528083708,0.5614035087719298,0.24597619397490403,0.11892135528083705,7.0,14.0,16.0,60.0,4.0,0.7402173913043479,0.5782608695652174,0.7891304347826087,5.551176296792457e-10,0.5782608695652173,90.0,2.0,2.0,3.0,4.0,0.46981534090909094,0.053300179088902604,0.5142045454545454,0.5910120839424675,0.053300179088902604,85.0,3.0,15.0,1.0
4,5.0,0.7880649717514124,0.4390942260412905,0.7175847457627118,7.812815716873067e-10,0.43909422604129056,36.0,23.0,21.0,99.0,5.0,0.6436974789915966,0.37146603207697604,0.5714285714285714,3.5740614684145044e-07,0.37146603207697604,170.0,0.0,6.0,1.0,5.0,0.7699275362318841,0.39490795327159156,0.6278985507246376,7.828935453548764e-09,0.3949079532715915,182.0,2.0,11.0,4.0
5,6.0,0.7413127413127414,0.4278415383393262,0.6884169884169884,4.0893265100286956e-11,0.42784153833932614,33.0,37.0,14.0,134.0,6.0,0.6625615763546798,0.23134942932427305,0.575944170771757,0.0006285754901687823,0.23134942932427313,200.0,3.0,10.0,2.0,6.0,0.7440519105984139,0.5258496309582278,0.7036770007209805,2.523454633518976e-18,0.5258496309582277,216.0,3.0,11.0,8.0
6,7.0,0.6819047619047619,0.3838540286930897,0.6123809523809524,0.00011305827630769134,0.38385402869308977,5.0,16.0,1.0,74.0,7.0,0.9439560439560439,0.6549455359345627,0.7945054945054946,4.5262514187582914e-13,0.6549455359345627,90.0,1.0,2.0,3.0,7.0,0.7054597701149425,0.3101822918659157,0.6077586206896552,0.0014295381534119324,0.31018229186591567,84.0,3.0,12.0,4.0
