,Classifier,Corr: OUTC,p-v: OUTC,MCC: OUTC,Corr: RT_P,p-v: RT_P,MCC: RT_P,Corr: Dece,p-v: Dece,MCC: Dece
0,Nearest Neighbors_01,0.43909422604129056,7.812815716873067e-10,0.4390942260412905,-0.01529566014434607,0.839865489852859,-0.015295660144346072,0.1353719166167163,0.05659695500631184,0.1353719166167163
1,Nearest Neighbors_02,0.4039984619985146,2.044741393975651e-08,0.40399846199851464,,,0.0,,,0.0
2,Nearest Neighbors_03,0.2860645343288881,0.00010364006423811521,0.2860645343288881,,,0.0,,,0.0
3,Nearest Neighbors_04,0.24886896471270692,0.0007813291815199859,0.2488689647127069,,,0.0,,,0.0
4,Nearest Neighbors_05,0.39360447419869077,5.0138624017909263e-08,0.3936044741986908,-0.01529566014434607,0.839865489852859,-0.015295660144346072,0.12106069205265522,0.08851510197225637,0.12106069205265522
5,Nearest Neighbors_06,0.33783261133861314,3.747135419140144e-06,0.33783261133861314,,,0.0,0.0757846548455245,0.2873875618478074,0.0757846548455245
6,Nearest Neighbors_07,0.305135104872068,3.276908717047558e-05,0.3051351048720681,,,0.0,-0.020291031398236414,0.7760530521850262,-0.020291031398236417
7,Nearest Neighbors_08,0.2641388349455382,0.0003531234838976226,0.2641388349455382,,,0.0,,,0.0
8,SVM_01,0.15061493559794148,0.04417060773341305,0.1506149355979415,,,0.0,,,0.0
9,SVM_02,0.23586789556161852,0.0014800929266703183,0.23586789556161852,,,0.0,,,0.0
10,SVM_03,0.23824570709490767,0.0013202001799368316,0.23824570709490767,-0.021693045781865615,0.7744216052623246,-0.021693045781865615,0.09752728015972713,0.17056403600930822,0.09752728015972714
11,SVM_04,0.29462815595911845,6.24197403748157e-05,0.29462815595911845,-0.05946956680249697,0.4317025247599947,-0.05946956680249698,0.3081356095088422,9.528016437714131e-06,0.3081356095088422
12,SVM_05,0.2842995023280759,0.00011482746400017742,0.2842995023280759,-0.06614378277661476,0.38173210209956066,-0.06614378277661477,0.2844077747984403,4.6774602266719965e-05,0.2844077747984403
13,SVM_06,,,0.0,,,0.0,,,0.0
14,SVM_07,0.25680710339362195,0.0005201546203351762,0.25680710339362195,0.2525690330317211,0.0006949570595536586,0.25256903303172107,-0.020291031398236414,0.7760530521850262,-0.020291031398236417
15,SVM_08,0.36793785310734456,4.03978422322149e-07,0.3679378531073446,0.1641949290975261,0.02897418689594218,0.1641949290975261,0.26411894326518376,0.0001635469600136983,0.2641189432651838
16,SVM_09,0.3779296016398602,1.8314903556940402e-07,0.3779296016398602,0.1641949290975261,0.02897418689594218,0.1641949290975261,0.07858023958690684,0.2699254119601362,0.07858023958690684
17,SVM_10,0.38807321568011494,7.981230592021137e-08,0.3880732156801149,0.1641949290975261,0.02897418689594218,0.1641949290975261,0.1497513984811959,0.034762471298837944,0.1497513984811959
18,SVM_11,,,0.0,,,0.0,,,0.0
19,SVM_12,0.12257328395480059,0.10213303274694473,0.1225732839548006,,,0.0,0.2489033184850334,0.0003925377100917425,0.24890331848503336
20,SVM_13,0.10878006784175505,0.14720164710055805,0.10878006784175505,-0.01529566014434607,0.839865489852859,-0.015295660144346072,0.03846899788748414,0.5895742484665637,0.038468997887484126
21,SVM_14,0.21563897984826144,0.0037432260472781602,0.21563897984826141,-0.01529566014434607,0.839865489852859,-0.015295660144346072,0.15561210006865295,0.02818245797935934,0.15561210006865295
22,SVM_15,0.2641388349455382,0.0003531234838976226,0.2641388349455382,-0.026644683298418508,0.7248117310600161,-0.02664468329841851,0.14474599031500415,0.04137175174080969,0.14474599031500415
23,SVM_16,,,0.0,,,0.0,,,0.0
24,SVM_17,,,0.0,,,0.0,,,0.0
25,SVM_18,0.30033024110748063,4.4134805353743554e-05,0.30033024110748063,,,0.0,,,0.0
26,SVM_19,0.30722589114698007,2.873978764520651e-05,0.30722589114698,,,0.0,-0.020291031398236414,0.7760530521850262,-0.020291031398236417
27,SVM_20,0.30452674978374694,3.403791275670802e-05,0.304526749783747,,,0.0,-0.020291031398236414,0.7760530521850262,-0.020291031398236417
28,SVM_21,0.3535610318648356,1.2043723574940998e-06,0.35356103186483556,,,0.0,-0.020291031398236414,0.7760530521850262,-0.020291031398236417
29,SVM_22,,,0.0,,,0.0,,,0.0
30,SVM_23,0.3757966897317175,2.173268105683273e-07,0.3757966897317175,,,0.0,,,0.0
31,SVM_24,0.331623554810041,5.7678112445975095e-06,0.33162355481004097,0.2525690330317211,0.0006949570595536586,0.25256903303172107,0.1722827898125357,0.014963565881761056,0.1722827898125357
32,SVM_25,0.3366550691148306,4.0694485237986355e-06,0.33665506911483056,0.2525690330317211,0.0006949570595536586,0.25256903303172107,0.15212950247897233,0.03195026412597904,0.15212950247897233
33,SVM_26,0.3001717773598493,4.456639811064746e-05,0.30017177735984935,0.2525690330317211,0.0006949570595536586,0.25256903303172107,0.08759726089173885,0.21858729858979187,0.08759726089173885
34,SVM_27,,,0.0,,,0.0,,,0.0
35,SVM_28,0.2411712181597158,0.0011452093905759079,0.24117121815971576,,,0.0,,,0.0
36,SVM_29,0.27021453240254495,0.0002540071014887025,0.27021453240254495,0.1979319330739661,0.008270200799092428,0.1979319330739661,0.2828440680169217,5.1692898446543886e-05,0.2828440680169217
37,SVM_30,0.3017478463543479,4.044489066326306e-05,0.30174784635434787,0.1979319330739661,0.008270200799092428,0.1979319330739661,0.15561210006865295,0.02818245797935934,0.15561210006865295
38,Gaussian Process_01,0.36256271049952715,6.115650653257522e-07,0.3625627104995271,0.1979319330739661,0.008270200799092428,0.1979319330739661,0.13478260869565217,0.05769150230406474,0.13478260869565217
39,Gaussian Process_02,0.3290035220602297,6.89981096955726e-06,0.32900352206022965,,,0.0,,,0.0
40,Gaussian Process_03,0.28775008310609257,9.391580482217937e-05,0.28775008310609257,,,0.0,,,0.0
41,Gaussian Process_04,0.32484411992907897,9.139539483174149e-06,0.32484411992907897,,,0.0,,,0.0
42,Gaussian Process_05,0.32484411992907897,9.139539483174149e-06,0.32484411992907897,,,0.0,,,0.0
43,Decision Tree_01,,,0.0,,,0.0,,,0.0
44,Decision Tree_02,0.30580889832325986,3.141582412527032e-05,0.30580889832325986,-0.049655381596068866,0.5116013353706024,-0.04965538159606887,0.07858023958690684,0.2699254119601362,0.07858023958690684
45,Decision Tree_03,0.2770230819094403,0.00017397163229909004,0.2770230819094403,0.04793975283058429,0.5263141738608795,0.0479397528305843,0.24495531345545887,0.0004884200481771203,0.24495531345545887
46,Decision Tree_04,0.27957360876772636,0.0001505905944915796,0.2795736087677264,0.04793975283058429,0.5263141738608795,0.0479397528305843,0.24495531345545887,0.0004884200481771203,0.24495531345545887
47,Decision Tree_05,0.27957360876772636,0.0001505905944915796,0.2795736087677264,0.04793975283058429,0.5263141738608795,0.0479397528305843,0.24495531345545887,0.0004884200481771203,0.24495531345545887
48,Decision Tree_06,0.292090395480226,7.266248741529029e-05,0.292090395480226,0.1641949290975261,0.02897418689594218,0.1641949290975261,0.19571408421604333,0.005599831803058017,0.1957140842160433
49,Decision Tree_07,0.2161667987764269,0.0036573602415724935,0.21616679877642686,0.12217619834057421,0.10523080906326143,0.12217619834057422,0.15779223299779238,0.02602263389571869,0.15779223299779238
50,Decision Tree_08,0.24177340672024025,0.0011119396589112146,0.24177340672024025,0.12217619834057421,0.10523080906326143,0.12217619834057422,0.15779223299779238,0.02602263389571869,0.15779223299779238
51,Random Forest_01,0.24177340672024025,0.0011119396589112146,0.24177340672024025,0.12217619834057421,0.10523080906326143,0.12217619834057422,0.15779223299779238,0.02602263389571869,0.15779223299779238
52,Random_Forest_02,0.3077383230936353,2.782608252061166e-05,0.3077383230936353,,,0.0,0.23036413099751782,0.0010628003818241487,0.23036413099751782
53,Random_Forest_03,0.305135104872068,3.276908717047558e-05,0.3051351048720681,,,0.0,-0.020291031398236414,0.7760530521850262,-0.020291031398236417
54,Random_Forest_04,0.33783261133861314,3.747135419140144e-06,0.33783261133861314,,,0.0,-0.028768591716392993,0.6866849913432431,-0.028768591716392993
