,Representation,AUROC: OUTC,MCC: OUTC,Bal.Acc: OUTC,p-v: OUTC,Corr: OUTC,"CM[0,0]: OUTC","CM[0,1]: OUTC","CM[1,0]: OUTC","CM[1,1]: OUTC",Representation,AUROC: RT_P,MCC: RT_P,Bal.Acc: RT_P,p-v: RT_P,Corr: RT_P,"CM[0,0]: RT_P","CM[0,1]: RT_P","CM[1,0]: RT_P","CM[1,1]: RT_P",Representation,AUROC: Dece,MCC: Dece,Bal.Acc: Dece,p-v: Dece,Corr: Dece,"CM[0,0]: Dece","CM[0,1]: Dece","CM[1,0]: Dece","CM[1,1]: Dece"
0,1.0,0.6754079254079254,0.408881435941899,0.6496003996003996,8.368413452856507e-11,0.40888143594189896,26.0,51.0,6.0,150.0,1.0,0.6161202185792349,0.1725984775247362,0.5710382513661202,0.005625086299044971,0.1725984775247362,238.0,6.0,10.0,2.0,1.0,0.7986888111888111,0.32257732801097255,0.7597902097902098,2.9941352965718684e-08,0.3225773280109726,206.0,54.0,6.0,16.0
1,2.0,0.6732344632768361,0.3859167143917523,0.7028954802259887,9.545204130830585e-08,0.38591671439175224,50.0,9.0,53.0,67.0,2.0,0.6432773109243698,0.276239383189103,0.6848739495798319,0.00019783111097584688,0.276239383189103,160.0,10.0,4.0,3.0,2.0,0.513153153153153,0.04239000170645713,0.5378378378378379,0.5511782098914255,0.042390001706457126,125.0,60.0,9.0,6.0
2,3.0,0.651150527325024,0.30211792469089904,0.6612176414189836,5.309387303884405e-06,0.30211792469089904,47.0,23.0,52.0,97.0,3.0,0.5984477124183006,0.11565161063847322,0.625,0.08996998452820515,0.11565161063847322,119.0,85.0,4.0,8.0,3.0,0.631578947368421,0.24472443025902482,0.5503588516746412,0.00013248764573419778,0.24472443025902488,219.0,1.0,17.0,2.0
3,4.0,0.5585839598997494,0.15272024792571778,0.5704887218045113,0.1353334577799473,0.15272024792571778,6.0,15.0,11.0,65.0,4.0,0.7380434782608695,0.5207931581893314,0.783695652173913,4.5408561894480076e-08,0.5207931581893314,89.0,3.0,2.0,3.0,4.0,0.6807528409090909,0.205038606252941,0.6420454545454546,0.03680165539264582,0.20503860625294104,47.0,41.0,4.0,12.0
4,5.0,0.7855225988700565,0.46878619978128566,0.7389830508474576,3.633365296856138e-11,0.4687861997812857,40.0,19.0,24.0,96.0,5.0,0.6168067226890757,0.37146603207697604,0.5714285714285714,3.5740614684145044e-07,0.37146603207697604,170.0,0.0,6.0,1.0,5.0,0.7070652173913042,0.3680363164598555,0.6782608695652175,8.893820518240458e-08,0.36803631645985546,176.0,8.0,9.0,6.0
5,6.0,0.7468629343629345,0.46609024627070783,0.7098455598455597,3.721508308518653e-13,0.46609024627070783,36.0,34.0,14.0,134.0,6.0,0.701559934318555,0.20483096752886407,0.5734811165845649,0.00254476575879027,0.20483096752886404,199.0,4.0,10.0,2.0,6.0,0.8055755827925979,0.3639990920250304,0.7793799567411679,7.223912148373116e-09,0.36399909202503034,180.0,39.0,5.0,14.0
6,7.0,0.6977777777777777,0.3652785572416758,0.7028571428571428,0.00025280300944868366,0.3652785572416759,13.0,8.0,16.0,59.0,7.0,0.9230769230769231,0.578021978021978,0.789010989010989,6.976104140471316e-10,0.5780219780219781,89.0,2.0,2.0,3.0,7.0,0.6235632183908046,0.32998855216590167,0.5880028735632183,0.0006640172827078619,0.3299885521659016,86.0,1.0,13.0,3.0
