,Representation,AUROC: OUTC,MCC: OUTC,Bal.Acc: OUTC,p-v: OUTC,Corr: OUTC,"CM[0,0]: OUTC","CM[0,1]: OUTC","CM[1,0]: OUTC","CM[1,1]: OUTC",Representation,AUROC: RT_P,MCC: RT_P,Bal.Acc: RT_P,p-v: RT_P,Corr: RT_P,"CM[0,0]: RT_P","CM[0,1]: RT_P","CM[1,0]: RT_P","CM[1,1]: RT_P",Representation,AUROC: Dece,MCC: Dece,Bal.Acc: Dece,p-v: Dece,Corr: Dece,"CM[0,0]: Dece","CM[0,1]: Dece","CM[1,0]: Dece","CM[1,1]: Dece"
0,1.0,0.662962037962038,0.3276926197717064,0.646978021978022,3.102673519726784e-07,0.32769261977170633,33.0,44.0,21.0,135.0,1.0,0.6171448087431693,0.2012292335313899,0.6045081967213115,0.0012075625111654749,0.20122923353138988,234.0,10.0,9.0,3.0,1.0,0.8052447552447554,0.41524333768556343,0.6117132867132867,3.511150643774078e-13,0.41524333768556354,259.0,1.0,17.0,5.0
1,2.0,0.6874293785310734,0.3859167143917523,0.7028954802259887,9.545204130830585e-08,0.38591671439175224,50.0,9.0,53.0,67.0,2.0,0.6445378151260505,0.18791260007945776,0.6163865546218488,0.012257098368086508,0.18791260007945773,161.0,9.0,5.0,2.0,2.0,0.47945945945945945,0.06457464030007577,0.5405405405405406,0.3636416992873559,0.06457464030007576,163.0,22.0,12.0,3.0
2,3.0,0.671620325982742,0.3022266322792306,0.6607861936720998,5.2661636162301615e-06,0.3022266322792306,46.0,24.0,50.0,99.0,3.0,0.613766339869281,0.12052460206385371,0.6299019607843137,0.07714233022106126,0.12052460206385371,121.0,83.0,4.0,8.0,3.0,0.6446172248803828,0.3125902046136936,0.5526315789473684,8.167437025801429e-07,0.3125902046136937,220.0,0.0,17.0,2.0
3,4.0,0.5639097744360902,0.14912280701754385,0.5745614035087719,0.14489168659709387,0.14912280701754385,7.0,14.0,14.0,62.0,4.0,0.8271739130434783,0.5782608695652174,0.7891304347826087,5.551176296792457e-10,0.5782608695652173,90.0,2.0,2.0,3.0,4.0,0.5159801136363636,0.053300179088902604,0.5142045454545454,0.5910120839424675,0.053300179088902604,85.0,3.0,15.0,1.0
4,5.0,0.8093220338983051,0.5170427043758515,0.7467514124293786,1.2636507977613523e-13,0.5170427043758515,36.0,23.0,14.0,106.0,5.0,0.5773109243697478,0.37146603207697604,0.5714285714285714,3.5740614684145044e-07,0.37146603207697604,170.0,0.0,6.0,1.0,5.0,0.7565217391304349,0.3528947250544207,0.5666666666666667,3.183158068964744e-07,0.35289472505442077,184.0,0.0,13.0,2.0
5,6.0,0.6876930501930503,0.38284013547369955,0.6711389961389961,5.088589514031289e-09,0.38284013547369955,32.0,38.0,17.0,131.0,6.0,0.5981116584564861,0.1874951014518753,0.5392036124794746,0.005821133669536933,0.18749510145187526,202.0,1.0,11.0,1.0,6.0,0.7962028358567652,0.5193330350071134,0.7254265801490026,7.716943288513208e-18,0.5193330350071131,214.0,5.0,10.0,9.0
6,7.0,0.5911111111111111,0.27565892320998564,0.5476190476190477,0.006559932379866095,0.27565892320998564,2.0,19.0,0.0,75.0,7.0,0.9505494505494505,0.7662224051759048,0.8,9.367173437763957e-20,0.7662224051759049,91.0,0.0,2.0,3.0,7.0,0.7212643678160919,0.34187639080606574,0.6332614942528736,0.0004086320772482471,0.34187639080606563,83.0,4.0,11.0,5.0
