,Classifier OUTC,MCC: OUTC,Corr: OUTC,p-v: OUTC,Index: OUTC,Classifier RT_P,MCC: RT_P,Corr: RT_P,p-v: RT_P,Index: RT_P,Classifier Dece,MCC: Dece,Corr: Dece,p-v: Dece,Index: Dece,Representation
0,Gaussian Process_04,0.40888143594189896,0.40888143594189896,8.368413452856506e-11,41.0,SVM_29,0.1725984775247362,0.1725984775247362,0.005625086299044971,36.0,Naive Bayes_04,0.3225773280109725,0.3225773280109726,2.9941352965718684e-08,116.0,1
1,Neural Net_16,0.38262786370175744,0.3826278637017574,1.535561273770035e-09,86.0,Gradient_40,0.15585789645272846,0.1558578964527284,0.012531989243846842,176.0,QDA_01,0.3005514292830951,0.30055142928309503,2.687759504571999e-07,117.0,1
2,SVM_28,0.3695420302269684,0.3695420302269684,5.965641874585668e-09,35.0,Logistic_01,0.12107306384920773,0.12107306384920773,0.05301334505535001,118.0,SVM_14,0.2932893729390492,0.2932893729390492,5.331434980742497e-07,21.0,1
3,Random_Forest_12,0.3521940997410076,0.3521940997410076,3.292155786833493e-08,62.0,Naive Bayes_01,0.07613672944156802,0.07613672944156805,0.22475194339793866,113.0,Gradient_34,0.2496951187902005,0.2496951187902005,2.2168362192516073e-05,170.0,1
4,Ridge_03,0.343959662065076,0.34395966206507594,7.150104801982317e-08,129.0,Gaussian Process_01,0.06638402981720623,0.06638402981720623,0.2900034045501807,38.0,Neural Net_11,0.2275980827791795,0.22759808277917956,0.00011536604165860078,81.0,1
5,Logistic_02,0.3434976312025826,0.3434976312025825,7.463221840691097e-08,119.0,Random Forest_19,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,69.0,Logistic_04,0.2085416056996376,0.2085416056996376,0.0004230162389465172,121.0,1
6,Random Forest_09,0.342676728185507,0.34267672818550704,8.052374502516511e-08,59.0,Random_Forest_02,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,52.0,Ridge_01,0.2085416056996376,0.2085416056996376,0.0004230162389465172,127.0,1
7,Nearest Neighbors_03,0.34150047730212035,0.34150047730212024,8.975114463017768e-08,2.0,Neural Net_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,71.0,AdaBoost_13,0.17700454708514876,0.17700454708514876,0.0028562770774072928,107.0,1
8,AdaBoost_01,0.3246550524879607,0.3246550524879606,4.043258536569054e-07,95.0,AdaBoost_02,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,96.0,Random Forest_11,0.1403639451331482,0.1403639451331482,0.018357424694793675,61.0,1
9,Gradient_53,0.3188573022858339,0.3188573022858338,6.649130914551463e-07,189.0,QDA_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,117.0,Random_Forest_10,0.1235578877700165,0.12355788777001653,0.03811406590158666,60.0,1
10,Decision Tree_02,0.2750372853593055,0.27503728535930544,2.06179304716655e-05,44.0,Ridge_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,127.0,Nearest Neighbors_01,0.1095754937547915,0.1095754937547915,0.06614365324373167,0.0,1
11,QDA_01,0.2670697470890161,0.2670697470890161,3.627903861360057e-05,117.0,Nearest Neighbors_01,-0.01967858420041179,-0.019678584200411787,0.7540171676049447,0.0,Decision Tree_03,0.0901094046946064,0.0901094046946064,0.13115942523231502,45.0,1
12,Bagging_03,0.2532749110878074,0.2532749110878074,9.259772316095864e-05,135.0,Bagging_03,-0.01967858420041179,-0.019678584200411787,0.7540171676049447,135.0,Bagging_03,0.06215827669350772,0.06215827669350772,0.2982540424624888,135.0,1
13,Naive Bayes_03,0.22869978094346705,0.22869978094346705,0.0004332938560051897,115.0,Decision Tree_02,-0.031299964954492186,-0.031299964954492186,0.6181522620451537,44.0,Gaussian Process_01,0.02240674096167444,0.02240674096167444,0.707921585384943,38.0,1
0,Naive Bayes_03,0.3859167143917523,0.3859167143917521,9.545204130830583e-08,115.0,QDA_01,0.27623938318910307,0.27623938318910307,0.00019783111097584688,117.0,Naive Bayes_04,0.04239000170645713,0.042390001706457126,0.5511782098914255,116.0,2
1,QDA_01,0.3859167143917523,0.3859167143917521,9.545204130830583e-08,117.0,Gradient_04,0.09539454563902433,0.09539454563902433,0.2065776058578924,140.0,QDA_01,0.014571669282099391,0.014571669282099391,0.8377333001825322,117.0,2
2,Nearest Neighbors_04,0.22081714020430535,0.2208171402043054,0.002974220044566281,3.0,Naive Bayes_04,0.09406592211902608,0.09406592211902608,0.2129986741722943,116.0,Logistic_01,0.0,0.0,1.0,118.0,2
3,Gradient_36,0.1944047216366788,0.1944047216366788,0.009116263966265236,172.0,Nearest Neighbors_06,-0.015295660144346072,-0.015295660144346069,0.839865489852859,5.0,Gradient_31,-0.0037200434830984,-0.0037200434830984,0.9583057631622738,167.0,2
4,Random Forest_11,0.14156844045699954,0.14156844045699954,0.05871531125746868,61.0,SVM_03,-0.015295660144346072,-0.015295660144346069,0.839865489852859,10.0,SVM_12,-0.020185207913169845,-0.020185207913169856,0.7766390927215687,19.0,2
5,Random_Forest_03,0.14156844045699954,0.14156844045699954,0.05871531125746868,53.0,Gaussian Process_01,-0.015295660144346072,-0.015295660144346069,0.839865489852859,38.0,Nearest Neighbors_01,-0.028618190351607124,-0.028618190351607124,0.6874868586678768,0.0,2
6,Bagging_03,0.14156844045699954,0.14156844045699954,0.05871531125746868,135.0,Decision Tree_02,-0.015295660144346072,-0.015295660144346069,0.839865489852859,44.0,Gaussian Process_01,-0.040678199817964236,-0.040678199817964236,0.5673846091668195,38.0,2
7,Neural Net_01,0.13893345592517936,0.13893345592517936,0.06362676085086581,71.0,Random Forest_01,-0.015295660144346072,-0.015295660144346069,0.839865489852859,51.0,Decision Tree_02,-0.040678199817964236,-0.040678199817964236,0.5673846091668195,44.0,2
8,Decision Tree_02,0.11971595530625755,0.11971595530625752,0.11044075525938013,44.0,Random_Forest_02,-0.015295660144346072,-0.015295660144346069,0.839865489852859,52.0,Random Forest_01,-0.040678199817964236,-0.040678199817964236,0.5673846091668195,51.0,2
