,Classifier,Corr: OUTC,p-v: OUTC,MCC: OUTC,Corr: RT_P,p-v: RT_P,MCC: RT_P,Corr: Dece,p-v: Dece,MCC: Dece
0,Nearest Neighbors_01,0.48612821578163384,5.256527436581986e-12,0.4861282157816338,-0.01529566014434607,0.839865489852859,-0.015295660144346072,0.2554529529681037,0.000271042188789398,0.2554529529681037
1,Nearest Neighbors_02,0.43361848724756746,1.3330346485330507e-09,0.4336184872475675,,,0.0,,,0.0
2,Nearest Neighbors_03,0.379113491352357,1.6646745136777988e-07,0.37911349135235695,,,0.0,,,0.0
3,Nearest Neighbors_04,0.29823122433212135,5.018392518060751e-05,0.2982312243321213,,,0.0,,,0.0
4,Nearest Neighbors_05,0.4151884192949627,7.518095748591468e-09,0.41518841929496264,-0.01529566014434607,0.839865489852859,-0.015295660144346072,0.21266174801645138,0.00256441285827052,0.21266174801645138
5,Nearest Neighbors_06,0.4072084139684059,1.540343331661529e-08,0.40720841396840596,,,0.0,0.12088642012256096,0.08897810859643002,0.12088642012256094
6,Nearest Neighbors_07,0.3691392128139219,3.6784037152635206e-07,0.3691392128139219,,,0.0,-0.020291031398236414,0.7760530521850262,-0.020291031398236417
7,Nearest Neighbors_08,0.2891764224625399,8.636124051167886e-05,0.2891764224625399,,,0.0,,,0.0
8,SVM_01,0.26171781430147384,0.00040179616178950893,0.2617178143014739,,,0.0,,,0.0
9,SVM_02,0.32484411992907897,9.139539483174149e-06,0.32484411992907897,,,0.0,0.09473554499602063,0.18319365925872497,0.09473554499602065
10,SVM_03,0.3059408783497753,3.115699471043931e-05,0.30594087834977524,-0.026644683298418508,0.7248117310600161,-0.02664468329841851,0.09752728015972713,0.17056403600930822,0.09752728015972714
11,SVM_04,0.36484111398694347,5.13462495750469e-07,0.3648411139869435,-0.038010372817067525,0.6154609070729535,-0.03801037281706753,0.19446370851416694,0.005917990121902946,0.19446370851416697
12,SVM_05,0.36484111398694347,5.13462495750469e-07,0.3648411139869435,-0.052235632513062256,0.48988129840407446,-0.05223563251306227,0.19446370851416694,0.005917990121902946,0.19446370851416697
13,SVM_06,,,0.0,,,0.0,,,0.0
14,SVM_07,0.35312578212134793,1.2438379532053386e-06,0.35312578212134804,0.2525690330317211,0.0006949570595536586,0.25256903303172107,-0.040893041005476534,0.566324316425831,-0.040893041005476534
15,SVM_08,0.3932203389830508,5.1798092704505904e-08,0.39322033898305087,0.1641949290975261,0.02897418689594218,0.1641949290975261,0.1497513984811959,0.034762471298837944,0.1497513984811959
16,SVM_09,0.4240091311308614,3.3279721939814375e-09,0.4240091311308614,0.1641949290975261,0.02897418689594218,0.1641949290975261,-0.01442260732747155,0.8397723090303084,-0.01442260732747155
17,SVM_10,0.40884850829947356,1.3312463507119104e-08,0.40884850829947356,0.1641949290975261,0.02897418689594218,0.1641949290975261,0.10155165369238592,0.15351358689315422,0.10155165369238592
18,SVM_11,,,0.0,,,0.0,,,0.0
19,SVM_12,0.26217340989166293,0.00039218692317720107,0.262173409891663,,,0.0,,,0.0
20,SVM_13,0.1629795291076901,0.02926952761556877,0.1629795291076901,,,0.0,0.15561210006865295,0.02818245797935934,0.15561210006865295
21,SVM_14,0.21894966615977274,0.003233321149683711,0.21894966615977277,-0.03459754939409159,0.6475516514486129,-0.03459754939409159,0.12558221502213032,0.07716149250133798,0.12558221502213032
22,SVM_15,0.20703419177048957,0.005423912272547968,0.20703419177048957,-0.0571313269777463,0.4500601629220031,-0.05713132697774631,0.09448446209746841,0.18436238344883613,0.09448446209746843
23,SVM_16,,,0.0,,,0.0,,,0.0
24,SVM_17,,,0.0,,,0.0,,,0.0
25,SVM_18,0.28215026537212323,0.00012997422209466952,0.28215026537212323,,,0.0,-0.020291031398236414,0.7760530521850262,-0.020291031398236417
26,SVM_19,0.3535610318648356,1.2043723574940998e-06,0.35356103186483556,,,0.0,-0.03532395393191717,0.6203734263715174,-0.03532395393191716
27,SVM_20,0.33541163314019806,4.438311144877153e-06,0.33541163314019806,,,0.0,-0.03532395393191717,0.6203734263715174,-0.03532395393191716
28,SVM_21,0.3535610318648356,1.2043723574940998e-06,0.35356103186483556,,,0.0,-0.03532395393191717,0.6203734263715174,-0.03532395393191716
29,SVM_22,,,0.0,,,0.0,,,0.0
30,SVM_23,0.43797076869815516,8.724711410713736e-10,0.4379707686981551,,,0.0,,,0.0
31,SVM_24,0.3957934762643826,4.161438560706792e-08,0.3957934762643826,0.2525690330317211,0.0006949570595536586,0.25256903303172107,0.02945963608885907,0.6795692610880109,0.029459636088859063
32,SVM_25,0.38460045468598686,1.0640126770615144e-07,0.38460045468598686,0.2525690330317211,0.0006949570595536586,0.25256903303172107,0.02145411661428663,0.7635856049677878,0.021454116614286627
33,SVM_26,0.4453907298999519,4.1768158606206473e-10,0.4453907298999519,0.2525690330317211,0.0006949570595536586,0.25256903303172107,-0.0041142271148967595,0.9540091496226664,-0.004114227114896759
34,SVM_27,,,0.0,,,0.0,,,0.0
35,SVM_28,0.359769152364631,7.563937252887199e-07,0.359769152364631,,,0.0,,,0.0
36,SVM_29,0.38308860580542015,1.204652320195875e-07,0.38308860580542015,0.1641949290975261,0.02897418689594218,0.1641949290975261,0.08759726089173885,0.21858729858979187,0.08759726089173885
37,SVM_30,0.4151884192949627,7.518095748591468e-09,0.41518841929496264,0.1641949290975261,0.02897418689594218,0.1641949290975261,0.06268115942028986,0.3791185806912688,0.06268115942028986
38,Gaussian Process_01,0.4043011342346808,1.9911038545413297e-08,0.4043011342346808,0.1641949290975261,0.02897418689594218,0.1641949290975261,0.04893519708327886,0.49247444158234155,0.04893519708327887
39,Gaussian Process_02,0.2965624577368099,5.554026756496736e-05,0.29656245773680995,,,0.0,,,0.0
40,Gaussian Process_03,0.25840121423088425,0.0004785985002460779,0.2584012142308843,,,0.0,,,0.0
41,Gaussian Process_04,0.359769152364631,7.563937252887199e-07,0.359769152364631,,,0.0,,,0.0
42,Gaussian Process_05,0.3625523626041218,6.120490163534526e-07,0.3625523626041219,,,0.0,,,0.0
43,Decision Tree_01,,,0.0,,,0.0,,,0.0
44,Decision Tree_02,0.18930925447797575,0.011147724322756349,0.18930925447797575,0.09539454563902434,0.20657760585789237,0.09539454563902434,0.11703382798938024,0.0997170427730581,0.11703382798938024
45,Decision Tree_03,0.2509600094973396,0.0007027963077614,0.25096000949733965,0.084987582361556,0.26071140813196453,0.084987582361556,-0.019163433822822495,0.7881950508538365,-0.019163433822822495
