,Classifier,Corr: OUTC,p-v: OUTC,MCC: OUTC,Corr: RT_P,p-v: RT_P,MCC: RT_P,Corr: Dece,p-v: Dece,MCC: Dece
0,Nearest Neighbors_01,0.08457204379988792,0.4126450088927366,0.08457204379988792,0.6222813210704558,1.3067449737366675e-11,0.6222813210704556,-0.00930546875597747,0.9256734680845817,-0.009305468755977472
1,Nearest Neighbors_02,0.10141851056742202,0.32550139292401936,0.10141851056742199,,,0.0,-0.042461983686565466,0.6701989892511224,-0.042461983686565466
2,Nearest Neighbors_03,0.13832533195847968,0.17894095826499873,0.13832533195847965,,,0.0,,,0.0
3,Nearest Neighbors_04,-0.05428967140306369,0.5993415257785495,-0.05428967140306369,,,0.0,,,0.0
4,Nearest Neighbors_05,0.08457204379988792,0.4126450088927366,0.08457204379988792,0.6222813210704558,1.3067449737366675e-11,0.6222813210704556,0.0077770865119205015,0.9378545321894408,0.0077770865119205015
5,Nearest Neighbors_06,0.18095238095238098,0.0776756143646226,0.18095238095238095,,,0.0,-0.11580138896327519,0.24408528912734298,-0.1158013889632752
6,Nearest Neighbors_07,0.20518861620473802,0.044911024801320865,0.20518861620473802,,,0.0,-0.07427813527082074,0.45586580412739097,-0.07427813527082075
7,Nearest Neighbors_08,0.27565892320998564,0.006559932379866095,0.27565892320998564,,,0.0,-0.06034685977491535,0.544825918969909,-0.06034685977491536
8,SVM_01,,,0.0,,,0.0,,,0.0
9,SVM_02,0.10476190476190475,0.3097221379003451,0.10476190476190476,-0.03419128137749756,0.7408612112856701,-0.034191281377497565,0.02784903675585471,0.7800593801307653,0.02784903675585471
10,SVM_03,-0.09568393811167511,0.3537415005316953,-0.0956839381116751,0.15604395604395602,0.12896379515063655,0.15604395604395604,0.17033855927168554,0.08538785526567037,0.17033855927168554
11,SVM_04,-0.053452248382484885,0.6049939177379074,-0.05345224838248487,0.15604395604395602,0.12896379515063655,0.15604395604395604,-0.03591954022988505,0.7186894789823927,-0.035919540229885055
12,SVM_05,-0.11770965307480523,0.2533782294102191,-0.11770965307480522,0.15604395604395602,0.12896379515063655,0.15604395604395604,-0.06574913060288545,0.5093490134198302,-0.06574913060288547
13,SVM_06,,,0.0,,,0.0,,,0.0
14,SVM_07,0.2161748231411919,0.03439519561184839,0.21617482314119188,,,0.0,-0.08620109117803144,0.38660985348294474,-0.08620109117803146
15,SVM_08,0.01124100201761953,0.9134408142777886,0.01124100201761953,-0.042100132152522236,0.6838078342195012,-0.04210013215252224,-0.024306005670939455,0.8074596980115354,-0.02430600567093946
16,SVM_09,0.05718963455932836,0.5799520391691935,0.05718963455932836,-0.042100132152522236,0.6838078342195012,-0.04210013215252224,-0.013667650547937117,0.8910110158626018,-0.01366765054793712
17,SVM_10,0.05718963455932836,0.5799520391691935,0.05718963455932836,-0.042100132152522236,0.6838078342195012,-0.04210013215252224,0.06052212465172054,0.5436562561000211,0.060522124651720535
18,SVM_11,,,0.0,,,0.0,,,0.0
19,SVM_12,,,0.0,,,0.0,,,0.0
20,SVM_13,0.004034850217792017,0.9688779649360636,0.004034850217792016,0.29404501984647907,0.0036389243428509464,0.29404501984647907,0.0758347376933311,0.44645225962685187,0.07583473769333111
21,SVM_14,-0.0361904761904762,0.7262917771212276,-0.03619047619047619,0.29488313209626943,0.003539227595006654,0.2948831320962695,0.057132981751957065,0.5664899767005789,0.05713298175195707
22,SVM_15,-0.10866301950365548,0.29195006392484696,-0.10866301950365545,0.24628091326876128,0.015570852244045115,0.24628091326876134,0.09489753353971417,0.34033433546249836,0.0948975335397142
23,SVM_16,,,0.0,,,0.0,,,0.0
24,SVM_17,,,0.0,,,0.0,,,0.0
25,SVM_18,0.27565892320998564,0.006559932379866095,0.27565892320998564,,,0.0,-0.06034685977491535,0.544825918969909,-0.06034685977491536
26,SVM_19,0.27565892320998564,0.006559932379866095,0.27565892320998564,,,0.0,-0.06034685977491535,0.544825918969909,-0.06034685977491536
27,SVM_20,0.27565892320998564,0.006559932379866095,0.27565892320998564,,,0.0,-0.06034685977491535,0.544825918969909,-0.06034685977491536
28,SVM_21,0.27565892320998564,0.006559932379866095,0.27565892320998564,,,0.0,-0.06034685977491535,0.544825918969909,-0.06034685977491536
29,SVM_22,,,0.0,,,0.0,,,0.0
