,Classifier OUTC,MCC: OUTC,Corr: OUTC,p-v: OUTC,Index: OUTC,Classifier RT_P,MCC: RT_P,Corr: RT_P,p-v: RT_P,Index: RT_P,Classifier Dece,MCC: Dece,Corr: Dece,p-v: Dece,Index: Dece,Representation
0,Neural Net_10,0.3709395075693884,0.3709395075693883,5.1755493316174906e-09,80.0,SVM_24,0.18945651279646,0.18945651279645997,0.002333883105024691,31.0,QDA_01,0.4152433376855634,0.4152433376855635,3.5111506437740777e-13,117.0,1
1,Gaussian Process_04,0.3564848815878208,0.3564848815878208,2.1782413337256053e-08,41.0,Gradient_40,0.0915713843894264,0.0915713843894264,0.14400354128062734,176.0,Naive Bayes_04,0.38805526687056296,0.38805526687056296,1.4369477390800524e-11,116.0,1
2,Random_Forest_07,0.3557339391335239,0.3557339391335238,2.342564092032012e-08,57.0,Naive Bayes_04,0.07720789429921622,0.07720789429921622,0.21827823433817586,116.0,SVM_15,0.3858940834621409,0.38589408346214094,1.9027090375444257e-11,22.0,1
3,SVM_02,0.3496763643335932,0.3496763643335932,4.183087397626461e-08,9.0,Gaussian Process_01,0.04414248358694788,0.04414248358694788,0.4819521953294171,38.0,Logistic_04,0.32361687350142504,0.32361687350142504,2.6875306108606183e-08,121.0,1
4,AdaBoost_01,0.3315159909412984,0.3315159909412984,2.2141409209392692e-07,95.0,Decision Tree_07,0.0328805937142794,0.032880593714279385,0.6005174507723894,49.0,Ridge_01,0.32361687350142504,0.32361687350142504,2.6875306108606183e-08,127.0,1
5,Logistic_08,0.3205327191333587,0.3205327191333586,5.765005983376254e-07,125.0,Random Forest_01,0.0328805937142794,0.032880593714279385,0.6005174507723894,51.0,Neural Net_10,0.3005514292830951,0.30055142928309503,2.687759504571999e-07,80.0,1
6,Gradient_36,0.31967990360974463,0.31967990360974463,6.199946937048603e-07,172.0,AdaBoost_07,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,101.0,Nearest Neighbors_01,0.2301989731868349,0.2301989731868349,9.577779262501646e-05,0.0,1
7,Nearest Neighbors_03,0.3189403380303897,0.3189403380303896,6.602412481231682e-07,2.0,QDA_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,117.0,AdaBoost_16,0.2050794639684147,0.2050794639684147,0.0005292879850888147,110.0,1
8,Ridge_03,0.3189403380303897,0.3189403380303896,6.602412481231682e-07,129.0,Logistic_01,-0.013887549490757716,-0.013887549490757716,0.8249958475932392,118.0,Gradient_52,0.20317621923636825,0.20317621923636825,0.0005977652871413521,188.0,1
9,QDA_01,0.2996012417611265,0.2996012417611265,3.2238825705515813e-06,117.0,Random_Forest_02,-0.01967858420041179,-0.019678584200411787,0.7540171676049447,52.0,Decision Tree_04,0.1815153475862575,0.1815153475862575,0.002212764353699818,46.0,1
10,Bagging_04,0.29952146855126816,0.29952146855126816,3.2442878400771875e-06,136.0,Ridge_01,-0.01967858420041179,-0.019678584200411787,0.7540171676049447,127.0,Random Forest_01,0.1815153475862575,0.1815153475862575,0.002212764353699818,51.0,1
11,Naive Bayes_03,0.2995100773389736,0.2995100773389735,3.247211631260422e-06,115.0,Nearest Neighbors_01,-0.02414882902148513,-0.02414882902148513,0.700573457529847,0.0,Random_Forest_05,0.14627090087853373,0.14627090087853373,0.013946685774992258,55.0,1
12,Random Forest_11,0.2831117956704383,0.2831117956704383,1.141935647029632e-05,61.0,Bagging_04,-0.02414882902148513,-0.02414882902148513,0.700573457529847,136.0,Bagging_03,0.14040250316387196,0.14040250316387196,0.018325088507507303,135.0,1
13,Decision Tree_06,0.2532749110878074,0.2532749110878074,9.259772316095864e-05,48.0,Neural Net,,,,,Gaussian Process_01,0.06858092033778139,0.06858092033778139,0.2510073145689773,38.0,1
0,Naive Bayes_03,0.3859167143917523,0.3859167143917521,9.545204130830583e-08,115.0,Gradient_31,0.14642752764690647,0.14642752764690645,0.051800934455562025,167.0,Gradient_40,0.10971365117801728,0.10971365117801728,0.12197607724418325,176.0,2
1,QDA_01,0.3859167143917523,0.3859167143917521,9.545204130830583e-08,117.0,SVM_13,0.14036720039888587,0.14036720039888587,0.062396251114457575,20.0,Naive Bayes_04,0.07287879403717504,0.07287879403717502,0.3050961981648574,116.0,2
2,Nearest Neighbors_03,0.2900319627961687,0.2900319627961687,8.210708270572563e-05,2.0,Naive Bayes_04,0.0968364649739137,0.09683646497391367,0.1997679630515358,116.0,Logistic_01,0.0,0.0,1.0,118.0,2
3,Gradient_31,0.22232515932615413,0.22232515932615415,0.0027788634203189076,167.0,QDA_01,0.07590179758256242,0.07590179758256241,0.315329290821865,117.0,SVM_12,-0.020185207913169845,-0.020185207913169856,0.7766390927215687,19.0,2
4,Random Forest_09,0.1944047216366788,0.1944047216366788,0.009116263966265236,59.0,Nearest Neighbors,,,,,Nearest Neighbors_06,-0.028618190351607124,-0.028618190351607124,0.6874868586678768,5.0,2
5,Random_Forest_03,0.1944047216366788,0.1944047216366788,0.009116263966265236,53.0,Gaussian Process,,,,,Decision Tree_02,-0.028618190351607124,-0.028618190351607124,0.6874868586678768,44.0,2
6,Neural Net_01,0.1944047216366788,0.1944047216366788,0.009116263966265236,71.0,Decision Tree,,,,,Random Forest_01,-0.028618190351607124,-0.028618190351607124,0.6874868586678768,51.0,2
7,Bagging_03,0.1944047216366788,0.1944047216366788,0.009116263966265236,135.0,Random Forest,,,,,Random_Forest_08,-0.028618190351607124,-0.028618190351607124,0.6874868586678768,58.0,2
8,SVM_07,0.13893345592517936,0.13893345592517936,0.06362676085086581,14.0,Random_Forest,,,,,Gaussian Process_01,-0.03513882859951953,-0.035138828599519535,0.6213232401394477,38.0,2
9,Gaussian Process_01,0.13893345592517936,0.13893345592517936,0.06362676085086581,38.0,Neural Net,,,,,Neural Net_01,-0.03513882859951953,-0.035138828599519535,0.6213232401394477,71.0,2
10,Decision Tree_02,0.11971595530625755,0.11971595530625752,0.11044075525938013,44.0,AdaBoost,,,,,Bagging_03,-0.03513882859951953,-0.035138828599519535,0.6213232401394477,135.0,2
11,AdaBoost_07,0.0767517206060743,0.0767517206060743,0.3071685952198525,101.0,Logistic,,,,,QDA_01,-0.05007656439370351,-0.05007656439370351,0.4813128586655054,117.0,2
12,Logistic_04,0.0767517206060743,0.0767517206060743,0.3071685952198525,121.0,Ridge,,,,,AdaBoost,,,,,2
13,Ridge_01,0.0767517206060743,0.0767517206060743,0.3071685952198525,127.0,Bagging,,,,,Ridge,,,,,2
0,Naive Bayes_04,0.30211792469089904,0.30211792469089904,5.309387303884405e-06,116.0,Naive Bayes_04,0.10609967398031413,0.10609967398031413,0.1200214019062467,116.0,Naive Bayes_04,0.22154870935851906,0.22154870935851906,0.0005604276099748955,116.0,3
1,QDA_01,0.2963113896108609,0.2963113896108609,8.177138923783964e-06,117.0,Gradient_34,0.014625448482542613,0.014625448482542613,0.8307704807223841,170.0,SVM_12,0.031302579577803066,0.031302579577803066,0.630156168093092,19.0,3
2,Logistic_01,0.28438821715722706,0.284388217157227,1.9282672263447746e-05,118.0,Nearest Neighbors,,,,,Logistic_01,-0.018205070672711026,-0.018205070672711026,0.7794842332243873,118.0,3
3,Nearest Neighbors_05,0.19368267762634606,0.19368267762634606,0.004013062257299939,4.0,SVM,,,,,Nearest Neighbors_05,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,4.0,3
4,Gradient_34,0.19114286772739605,0.19114286772739605,0.004529936251288581,170.0,Gaussian Process,,,,,Gaussian Process_01,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,38.0,3
5,Neural Net_21,0.052755252633425134,0.05275525263342512,0.43728874524199146,91.0,Decision Tree,,,,,Decision Tree_02,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,44.0,3
6,SVM_13,0.04165123740187627,0.04165123740187626,0.539796511667124,20.0,Random Forest,,,,,Random Forest_01,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,51.0,3
7,Gaussian Process_02,0.03153183557400604,0.03153183557400604,0.6425950492287251,39.0,Random_Forest,,,,,Random_Forest_02,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,52.0,3
8,AdaBoost_02,0.03153183557400604,0.03153183557400604,0.6425950492287251,96.0,Neural Net,,,,,Neural Net_01,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,71.0,3
9,Ridge_04,0.03153183557400604,0.03153183557400604,0.6425950492287251,130.0,AdaBoost,,,,,AdaBoost_07,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,101.0,3
10,Random Forest_11,0.031072718468383,0.031072718468382995,0.6474459778427283,61.0,QDA,,,,,QDA_01,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,117.0,3
11,Random_Forest_03,0.031072718468383,0.031072718468382995,0.6474459778427283,53.0,Logistic,,,,,Ridge_01,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,127.0,3
12,Bagging_03,0.031072718468383,0.031072718468382995,0.6474459778427283,135.0,Ridge,,,,,Bagging_02,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,134.0,3
13,Decision Tree_02,0.03079569306953707,0.030795693069537076,0.6503801927519561,44.0,Bagging,,,,,Gradient_01,-0.01904921052684208,-0.01904921052684208,0.7695402838136157,137.0,3
0,QDA_01,0.1777752913126799,0.1777752913126799,0.08149251652803588,117.0,Random_Forest_02,0.4755440747309677,0.4755440747309677,8.550058090758294e-07,52.0,Nearest Neighbors_01,0.053300179088902604,0.053300179088902604,0.5910120839424675,0.0,4
1,Nearest Neighbors_02,0.08711041397882673,0.08711041397882671,0.3961982890834964,1.0,Bagging_02,0.4755440747309677,0.4755440747309677,8.550058090758294e-07,134.0,Neural Net_20,0.02506798464596438,0.025067984645964374,0.8005818108696797,90.0,4
2,Naive Bayes_04,0.056940871851273174,0.056940871851273174,0.5795909778322454,116.0,Gradient_04,0.4755440747309677,0.4755440747309677,8.550058090758294e-07,140.0,Logistic_01,0.012833175058483632,0.012833175058483632,0.8971228282353354,118.0,4
3,AdaBoost_02,-0.009336726293719871,-0.009336726293719871,0.9276785518235708,96.0,Neural Net_01,0.43858604470799545,0.4385860447079955,7.008961816680644e-06,71.0,Gradient_34,0.012448239943299228,0.012448239943299228,0.9001925072525492,170.0,4
4,Gradient_40,-0.04560088844320303,-0.04560088844320303,0.6573858111121154,176.0,Naive Bayes_02,0.3809592301447541,0.3809592301447541,0.0001183134614560553,114.0,SVM_24,0.008792249355666623,0.008792249355666623,0.9294143454114029,31.0,4
5,SVM_13,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,20.0,SVM_14,0.29535745266493696,0.295357452664937,0.0033135592119293805,21.0,Gaussian Process_01,0.008792249355666623,0.008792249355666623,0.9294143454114029,38.0,4
6,Random Forest_09,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,59.0,Random Forest_11,0.29535745266493696,0.295357452664937,0.0033135592119293805,61.0,Random Forest_19,0.008792249355666623,0.008792249355666623,0.9294143454114029,69.0,4
7,Random_Forest_06,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,56.0,Logistic_01,0.17909250925426987,0.17909250925426987,0.07922321359169696,118.0,Random_Forest_02,0.008792249355666623,0.008792249355666623,0.9294143454114029,52.0,4
8,Neural Net_12,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,82.0,AdaBoost_10,-0.02379334336334003,-0.02379334336334003,0.8170567900542183,104.0,AdaBoost_07,-0.042014581590156766,-0.042014581590156766,0.6719488220847284,101.0,4
