,Classifier,Corr: OUTC,p-v: OUTC,MCC: OUTC,Corr: RT_P,p-v: RT_P,MCC: RT_P,Corr: Dece,p-v: Dece,MCC: Dece
0,Nearest Neighbors_01,0.31870199689395806,1.552195759436838e-06,0.3187019968939581,-0.023559593899712076,0.731233388980578,-0.02355959389971208,0.4019336465897523,1.1806712351179682e-10,0.40193364658975234
1,Nearest Neighbors_02,0.3269929435609748,7.948858730274058e-07,0.3269929435609748,,,0.0,0.38359413041246876,9.214137516192687e-10,0.38359413041246876
2,Nearest Neighbors_03,0.31173124114791045,2.6833241833696667e-06,0.31173124114791045,,,0.0,,,0.0
3,Nearest Neighbors_04,0.3592077638166146,4.8601823962084335e-08,0.3592077638166146,,,0.0,,,0.0
4,Nearest Neighbors_05,0.2331788202798272,0.000518481740529244,0.2331788202798272,-0.0289224647849221,0.6732421201323286,-0.028922464784922105,0.32466368868316015,3.027719492401346e-07,0.3246636886831602
5,Nearest Neighbors_06,0.2197782238014184,0.0010893966288540594,0.21977822380141843,-0.0289224647849221,0.6732421201323286,-0.028922464784922105,0.34796561494666783,3.5248262002840614e-08,0.34796561494666783
6,Nearest Neighbors_07,0.24776594013371178,0.0002199147675515673,0.24776594013371178,,,0.0,0.15041463528679574,0.02026041068682887,0.15041463528679574
7,Nearest Neighbors_08,0.29739499399351554,7.92389053804585e-06,0.29739499399351554,,,0.0,0.08208772737999444,0.20700236965676613,0.08208772737999445
8,SVM_01,0.08774226574864133,0.19686272651111217,0.08774226574864133,,,0.0,,,0.0
9,SVM_02,0.31080236531492234,2.8833588445172606e-06,0.3108023653149224,-0.023559593899712076,0.731233388980578,-0.02355959389971208,0.3157403120938629,6.587017415058307e-07,0.31574031209386294
10,SVM_03,0.3084653402576858,3.4513919206805813e-06,0.3084653402576858,0.023327382404398942,0.7337820686889363,0.023327382404398942,0.38756196642321883,5.970654125136118e-10,0.3875619664232189
11,SVM_04,0.2924298342916458,1.1377971383189487e-05,0.2924298342916458,0.15151734957639737,0.026312318131231,0.15151734957639737,0.32616813790844673,2.6492549463265335e-07,0.3261681379084468
12,SVM_05,0.30039820141863366,6.345659684698499e-06,0.30039820141863366,0.13872224907837535,0.04214909070952912,0.13872224907837533,0.3396695041425443,7.735947564806977e-08,0.33966950414254443
